property_description,total_rooms,accomodation_size,property_size,location,rent_per_month
"Elegant 2-Bedroom Apartment with Eiffel Tower View | 15th District, Paris",1,2,25.0, 8th Arrondissement,1850.0
"Heart of Paris: Stylish 1BR with Elevator, WiFi & Modern Amenities",2,2,33.0, 8th Arrondissement,2778.0
Charming Studio of 11m2 located in the 17th district of Paris. Close to transport.,1,2,11.0, 8th Arrondissement,1678.0
Apartment 2 rooms - 45m² - Champs Elysées - Etoile,2,2,45.0, 8th Arrondissement,3066.0
Beautiful City Apartment,2,2,35.0, 8th Arrondissement,2566.0
Batignolles - A charming 3 room apartment,2,3,50.0, 8th Arrondissement,2300.0
"Cosy studio located in the 8th arrondissement of Paris, close to the Champs Elysées and the Arc de Triomphe.",1,2,18.0, 8th Arrondissement,1944.0
Cosy 18m2 studio.,1,2,18.0, 8th Arrondissement,1944.0
Stylish and nicely furnished apartment with plenty of storage space,2,2,32.0, 8th Arrondissement,2389.0
Studio 26m² - Champs Elysées - Etoile,1,2,26.0, 8th Arrondissement,2076.0
1-bedroom located in the golden triangle of Paris,2,3,80.0, 8th Arrondissement,4920.0
50m² flat nestled between the Champs-Élysées and the Arc de Triomphe.,2,1,50.0, 8th Arrondissement,4667.0
Flat located in great area,2,2,32.0, 8th Arrondissement,2556.0
"Beautiful bright flat for 4 people at the foot of the Champs Elysée/Av. Montaigne, fully equipped and refurbished",2,4,45.0, 8th Arrondissement,4400.0
Elegant apartment close to Champs-Elysees,2,2,32.0, 8th Arrondissement,3089.0
"Amazing & fantastic flat, Paris",2,2,65.0, 8th Arrondissement,5340.0
Charming Studio in the Heart of the 17th District - Only a Short Stroll Away from the Iconic Arc de Triomphe!,1,2,11.0, 8th Arrondissement,1506.0
Charming Studio of 11m2 located in the 17th district of Paris. Close to transport.,1,2,11.0, 8th Arrondissement,1678.0
Charming Studio in the heart of the 8th Arrondissement - Mobility lease,1,2,20.0, 8th Arrondissement,2611.0
Charming Parisian Studio in the Heart of the 8th District: Fully Furnished & Secure,1,2,16.0, 8th Arrondissement,2000.0
Concorde - Place de la Madeleine - 4 peoples,2,4,50.0, 8th Arrondissement,5250.0
Beautiful 57m2 flat in the 8th arrondissement of Paris. Ideal location close to the Champs-Élysées!,2,2,58.0, 8th Arrondissement,4578.0
Stunning studio - Champs Elysées,1,2,15.0, 8th Arrondissement,1833.0
1 room in Trocadéro (16 Arr.),1,2,28.0, 8th Arrondissement,3335.0
Amazing apartment -Levis Market,2,2,46.0, 8th Arrondissement,3800.0
Studio FullEquiped 2 personnes avec balcon 17e,1,2,13.0, 8th Arrondissement,1600.0
Studio near Montmartre,1,2,22.0, 9th Arrondissement,950.0
Beautiful two bedrooms near Rue des Martyrs central Paris,2,2,47.0, 9th Arrondissement,2850.0
Chauchat - spacious 2 bedrooms apartment,3,4,70.0, 9th Arrondissement,4000.0
Beautiful apartment Bonne Nouvelle / Fbg Poissonnière,3,6,50.0, 9th Arrondissement,4462.0
Rental Furnished flat with two bedrooms - 3 rooms - 92m2,3,4,92.0, 9th Arrondissement,3580.0
Crosby - 2 rooms in South Pigalle (9 Arr.),2,4,129.0, 9th Arrondissement,7558.0
Suite Pigalle – The Heart of Pigalle,1,2,46.0, 9th Arrondissement,4900.0
"Discover this little urban gem in the heart of Paris's 9th arrondissement - modern and bright, it combines Parisian charm with comfort.",2,2,37.0, 9th Arrondissement,2667.0
Studio Sofa-bed for Olympics,1,2,24.0, 9th Arrondissement,1760.0
Furnished studio- Montmartre/Sacré Coeur,1,2,18.0, 9th Arrondissement,1528.0
Love flat very well organized near Sacré Coeur,2,2,37.0, 9th Arrondissement,2333.0
Apartment 2 rooms - 25m² - Grands Boulevards,2,2,25.0, 9th Arrondissement,2088.0
Stylish 1-Bedroom Apartment with High-speed Internet and Great Location- Pigalle,2,2,40.0, 9th Arrondissement,2528.0
2-Bedroom apartment for the Olympics,2,4,49.0, 9th Arrondissement,2750.0
Rental Furnished Appartment - 2 Rooms - 37m² - Grands Boulevards - Lafayette,2,2,37.0, 9th Arrondissement,2091.0
Charming Studio near the Grands Boulevards - 9th Arrondissement,1,2,24.0, 9th Arrondissement,2222.0
1-Bedroom apartment for the Olympics,1,2,33.0, 9th Arrondissement,2310.0
Modern and Stylish Apartment near Opera and Grévin Museum - Paris 9th,3,3,80.0, 9th Arrondissement,4555.0
Perfect studio in popular area,1,1,22.0, 9th Arrondissement,1917.0
"Bright, quiet top floor apartment",3,5,95.0, 9th Arrondissement,4500.0
Paris 9th: Cozy and Connected: 55m2 Apartment with Smart Amenities and Comfy Bedrooms,3,4,55.0, 9th Arrondissement,4556.0
Charming Studio in the heart of the 9th Arrondissement - Close to Opéra Garnier and Montmartre,1,2,21.0, 9th Arrondissement,2111.0
Lovely & cozy apartment in the city center 3 mins from The Moulin Rouge,1,4,80.0, 9th Arrondissement,2950.0
Nice studio in the 9th,1,1,14.0, 9th Arrondissement,1500.0
Studio for Olympics,1,2,26.0, 9th Arrondissement,1870.0
Modern and fantastic apartment (Paris),6,10,130.0, 9th Arrondissement,8500.0
Lovely one bedroom -  Sacré Cœur,2,2,37.0, 9th Arrondissement,2333.0
Paris Opéra - Amazing 1-BR Apartment in excellent location,2,4,40.0, 9th Arrondissement,6727.0
Amazing & wonderful apartment close to park,1,2,35.0, 9th Arrondissement,2500.0
Paris Opéra - Amazing studio in excellent location,1,2,18.0, 9th Arrondissement,4247.0
Paris Opéra - Amazing large studio in excellent location,1,2,23.0, 9th Arrondissement,4867.0
Paris Opéra - Amazing Executive Duplex Apartment in excellent location,2,3,35.0, 9th Arrondissement,6107.0
"Charming 33m² Apartment near Metro Pigalle, 10 Minutes to Sacré-Cœur",2,6,33.0, 9th Arrondissement,2500.0
Best in Paris,3,4,50.0, 9th Arrondissement,4000.0
"1 bedroom Apartment, close to Rue des Martyrs.",2,2,32.0, 9th Arrondissement,2100.0
Lumineux Appartement meublé  Centre Paris,3,4,70.0, 9th Arrondissement,9000.0
"Beautiful, fully equipped flat in the heart of the 9th arrondissement",1,2,20.0, 9th Arrondissement,2000.0
Luxury loft in the heart of Paris,3,2,55.0, 9th Arrondissement,3200.0
"Charming flat in private alley - Montmartre, Paris",2,3,50.0, 9th Arrondissement,12000.0
Awesome loft with nice city view,1,1,12.0, 9th Arrondissement,12000.0
Appartment with terrace in the city center of Paris,2,2,54.0, 9th Arrondissement,20000.0
40m flat free for summer - Belleville,2,4,40.0, 10th Arrondissement,1500.0
"Suite Canal - Meet Amélie, Emily and Arletty",2,3,42.0, 10th Arrondissement,2778.0
Beautiful apartment Bonne Nouvelle / Fbg Poissonnière,3,6,50.0, 10th Arrondissement,4462.0
Apt 2 BDR - Near REPUBLIC,3,4,41.0, 10th Arrondissement,3778.0
Elegant Parisian Studio Just Steps from Rue Montorgueil: Comfort and Sophistication in the Heart of the City of Lights,1,2,23.0, 10th Arrondissement,2167.0
Panoramic Splendor: 13th Floor View of Sacré Coeur Basilica from a Secure Building with Concierge,2,2,55.0, 10th Arrondissement,3000.0
Beautiful Parisian loft front of the Canal,2,2,58.0, 10th Arrondissement,2080.0
Urban Elegance: Stylish 43m² Apartment with Double-Glazed Tranquility,2,2,43.0, 10th Arrondissement,2333.0
Superb apartment with great view - VELLEFAUX,3,5,51.0, 10th Arrondissement,3539.0
"Sunny Apartment in the Heart of the 11th Arrondissement, Steps from République",2,2,29.0, 10th Arrondissement,2222.0
"Modern, refurbished 38m2 flat in a lively, family-friendly neighbourhood close to transport links.",1,2,38.0, 10th Arrondissement,2356.0
Nice studio 2pers. / Quai de Jemmapes - Colonel Fabien,1,2,27.0, 10th Arrondissement,1889.0
Lovely apartment near Canal Saint-Martin,3,4,76.0, 10th Arrondissement,4889.0
Co-living : 10m² room,1,1,10.0, 10th Arrondissement,967.0
"Magnificent flat located in the 10th district of Paris, surrounded by numerous shops and means of transport.",3,4,77.0, 10th Arrondissement,5556.0
Studio for Rent - 15 m² - Gare de l'Est / Canal Saint Martin - Paris,1,1,15.0, 10th Arrondissement,1200.0
Tastefully decorated flat in the heart of the 2nd arrondissement,2,4,36.0, 10th Arrondissement,2809.0
Central and modern studio in the 10th arrondissement of Paris.,1,3,30.0, 10th Arrondissement,2666.0
Suite Hauteville - The Trendy 10th Experience,1,2,50.0, 10th Arrondissement,6950.0
MAGNIFIQUE 3 PIECES MEUBLE  PISCINE SAUNA SALLE SPORT,3,4,70.0, 10th Arrondissement,3450.0
Luxury Paris,1,2,15.0, 10th Arrondissement,1695.0
Charming duplex with a view over the Sacré Coeur,3,3,55.0, 10th Arrondissement,2400.0
Charming apartment close to Canal Saint Martin,1,2,43.0, 10th Arrondissement,2800.0
"1 bedroom Apartment, close to Rue des Martyrs.",2,2,32.0, 10th Arrondissement,2100.0
Lumineux Appartement meublé  Centre Paris,3,4,70.0, 10th Arrondissement,9000.0
"Furnished 2 rooms flat Paris-10e, district Strasbourg Saint-Denis",2,3,45.0, 10th Arrondissement,2215.0
Luxurious 2-bedroom Design Apartment in the heart of Paris' 10th arrondissement,2,5,70.0, 10th Arrondissement,5000.0
Bright & awesome flat conveniently located (Paris),1,2,27.0, 10th Arrondissement,1490.0
Luxury loft in the heart of Paris,3,2,55.0, 10th Arrondissement,3200.0
Studio parisien,1,2,14.0, 10th Arrondissement,3000.0
Apartment in the 11th district of Paris,2,2,24.0, 11th Arrondissement,1380.0
Fantastic & wonderful suite close to park,1,1,14.0, 11th Arrondissement,1040.0
ATYPIQUE AND LUMINOUS T1,1,2,23.0, 11th Arrondissement,1600.0
"Space, light, view, in 2 bedroom Marais + parking.",3,4,90.0, 11th Arrondissement,4400.0
"Nice duplex in the 11th arrondissement, Village Faidherbe",3,4,66.0, 11th Arrondissement,3400.0
Beautiful apartment in the 11th arrondissement,2,2,40.0, 11th Arrondissement,3000.0
"Bright 2-Room flat, recently renovated, with double bed and living room near Nation with all appliances",2,2,43.0, 11th Arrondissement,2650.0
Pretty and neat home,7,4,100.0, 11th Arrondissement,6000.0
40m flat free for summer - Belleville,2,4,40.0, 11th Arrondissement,1500.0
Filles du calvaire  - 1bdrm apartment,2,3,42.0, 11th Arrondissement,2300.0
"Suite Canal - Meet Amélie, Emily and Arletty",2,3,42.0, 11th Arrondissement,2778.0
Charming appartement with terrasse,1,2,20.0, 11th Arrondissement,1400.0
ID393 inviting 1 bedroom apartment in Rue de Turenne,2,4,60.0, 11th Arrondissement,3400.0
Apt 2 BDR - Near REPUBLIC,3,4,41.0, 11th Arrondissement,3778.0
Judson - 2 Bedrooms and terrace in Charonne (11 Arr.),2,4,107.0, 11th Arrondissement,5244.0
Panoramic Splendor: 13th Floor View of Sacré Coeur Basilica from a Secure Building with Concierge,2,2,55.0, 11th Arrondissement,3000.0
ID 422 - Roquette/ rue de la Folie Regnault,2,3,45.0, 11th Arrondissement,2100.0
Spacious and Modern 52m² Apartment with Full Amenities in Prime Location,1,4,52.0, 11th Arrondissement,2500.0
Beautiful studio in Paris XI,1,1,12.0, 11th Arrondissement,1200.0
Nice and cozy 113m2 apartment with a view close to park,5,4,113.0, 11th Arrondissement,5400.0
"Sunny Apartment in the Heart of the 11th Arrondissement, Steps from République",2,2,29.0, 11th Arrondissement,2222.0
Tenam - 1 room Archives (3 Arr.),2,3,59.0, 11th Arrondissement,4178.0
"Charming Mezzanine Studio in the Heart of the 11th District, Paris",1,2,20.0, 11th Arrondissement,1636.0
2-room flat - Gare de Lyon,2,4,31.0, 11th Arrondissement,2094.0
Quiet apartment in vibrant neighbourhood,2,2,26.0, 11th Arrondissement,2333.0
Co-living : 11m² room,1,1,11.0, 11th Arrondissement,1122.0
Loft of 73m² - Quartier Oberkampf (Paris 11),2,5,73.0, 11th Arrondissement,3710.0
Cosy Studio in the Heart of the City - Bastille,1,2,18.0, 11th Arrondissement,1666.0
Cristalinas - 2 rooms in Charonne (11 Arr.),1,4,74.0, 11th Arrondissement,4805.0
"ID390 exquisite apartment in Rue de Tournon, 6th arrondissement",2,4,45.0, 11th Arrondissement,3500.0
Cristalinas - 2 rooms in Charonne (11 Arr.),1,4,74.0, 11th Arrondissement,4805.0
Cosy Studio in the Heart of the City - Bastille,1,2,18.0, 11th Arrondissement,1666.0
Charming 1 bedroom in the 11th,1,2,38.0, 11th Arrondissement,2550.0
"Spacious, cozy home close to park",2,2,29.0, 11th Arrondissement,1900.0
Charming Studio in the Heart of Vibrant Paris,1,2,20.0, 11th Arrondissement,1778.0
Furnished apartment 2 rooms - Gare de Lyon,2,2,31.0, 11th Arrondissement,2111.0
Magnificent 2-BR apartment - BASTILLE/ST ANTOINE,3,4,80.0, 11th Arrondissement,5556.0
Charming 26m² Studio in the Heart of Paris' 11th Arrondissement,1,2,26.0, 11th Arrondissement,2178.0
Superb apartment at 1 min from Père Lachaise,3,5,65.0, 11th Arrondissement,4444.0
"Very nice flat completely refurbished and decorated with taste, located in the heart of the 11th district of Paris.",2,2,34.0, 11th Arrondissement,2778.0
Stylish and Cozy Apartment with Private Balcony in MAUR,2,4,35.0, 11th Arrondissement,3089.0
Rental Furnished flat - 3 rooms - 65m² - Marais - Bastille,3,4,65.0, 11th Arrondissement,4872.0
Cozy Studio in the Heart of the City,1,2,30.0, 11th Arrondissement,2444.0
Cozy and Bright Apartment in the Heart of the 11th District,2,4,30.0, 11th Arrondissement,3422.0
Beautiful 2-room apartment in a modern building,2,4,50.0, 11th Arrondissement,3351.0
"Charming, spacious apartment (Paris)",3,4,110.0, 11th Arrondissement,3950.0
Cosy studio near Atelier des Lumières,1,2,14.0, 11th Arrondissement,1556.0
Lovely studio in the République district,1,2,28.0, 11th Arrondissement,2000.0
25m2 flat close to Nation - Paris 11,1,3,25.0, 11th Arrondissement,1600.0
"Cozy Room in Spacious Apartment with Elevator Access – Mostly Private, Shared with Landlord Only 2 Days a Week",2,2,16.0, 11th Arrondissement,1150.0
Furnished studio,2,1,20.0, 11th Arrondissement,1500.0
"Spacious & quiet loft in nice area, Paris",2,2,44.0, 11th Arrondissement,2500.0
Nice location in 20th Paris near subway gambetta,2,2,42.0, 11th Arrondissement,1600.0
Beautiful and modern studio in vibrant neighbourhood,3,2,43.0, 11th Arrondissement,3000.0
Neat & cute Full furnish apartment  Paris 11eme,2,2,51.0, 11th Arrondissement,1990.0
Bright & charming loft,2,3,45.0, 11th Arrondissement,7500.0
Fantastic & wonderful suite close to park,1,1,14.0, 12th Arrondissement,1040.0
"Bright 2-Room flat, recently renovated, with double bed and living room near Nation with all appliances",2,2,43.0, 12th Arrondissement,2650.0
Elegant 3P with modern comfort,2,5,57.0, 12th Arrondissement,2690.0
"Nice duplex in the 11th arrondissement, Village Faidherbe",3,4,66.0, 12th Arrondissement,3400.0
Cozy calm studio in Vincennes,1,2,28.0, 12th Arrondissement,1550.0
"Spacious, beautiful studio in nice area, Paris",3,2,32.0, 12th Arrondissement,1100.0
Judson - 2 Bedrooms and terrace in Charonne (11 Arr.),2,4,107.0, 12th Arrondissement,5244.0
Private bedroom in shared flat,2,1,14.0, 12th Arrondissement,967.0
Private bedroom in shared flat,2,1,12.0, 12th Arrondissement,922.0
Private bedroom in shared apartment,2,1,15.0, 12th Arrondissement,967.0
Private bedroom in shared flat,2,1,16.0, 12th Arrondissement,1067.0
"Modern 50m2 flat, nestled in the cultural and dynamic heart of the 12th arrondissement.",2,4,50.0, 12th Arrondissement,3333.0
Co-living : 14 m² bedroom,1,1,14.0, 12th Arrondissement,1078.0
Private bedroom in shared flat,2,1,17.0, 12th Arrondissement,1022.0
Co-living: 11m² bedroom with private dressing room,1,1,11.0, 12th Arrondissement,1022.0
Co-living: Bright private bedroom in a neo-Haussmann flat.,1,1,11.0, 12th Arrondissement,1106.0
"Compact Comfort: 30m²  Apartment, Seamlessly Combining Functionality and Style",2,2,30.0, 12th Arrondissement,2333.0
2-room flat - Gare de Lyon,2,4,31.0, 12th Arrondissement,2094.0
"Beautiful flat with balcony and view, 12th arrondissement, Daumesnil sector",3,6,50.0, 12th Arrondissement,2550.0
Apartment 2 rooms- 31 sqm- Picpus - Reuilly - Nation,2,2,31.0, 12th Arrondissement,2058.0
Charming flat in the heart of the 13th arrondissement - Mobility lease,1,2,35.0, 12th Arrondissement,2111.0
Cosy Studio in the Heart of the City - Bastille,1,2,18.0, 12th Arrondissement,1666.0
Charming studio - COURBET/SAINT-MANDE,2,2,26.0, 12th Arrondissement,2022.0
"New suite in vibrant neighbourhood, Paris",2,2,42.0, 12th Arrondissement,1600.0
Charming 1 bedroom in the 11th,1,2,38.0, 12th Arrondissement,2550.0
Magnificent 2-BR apartment - BASTILLE/ST ANTOINE,3,4,80.0, 12th Arrondissement,5556.0
New and cute suite in vibrant neighbourhood,2,4,43.0, 12th Arrondissement,1800.0
"Fantastic 1-bedroom apartment, 51m² - Elevator - Rue de Picpus / Daumesnil - Paris 12th arrondissement",2,4,51.0, 12th Arrondissement,3500.0
2 bedroom 2 bathroom in the heart of the charming 12th,3,3,55.0, 12th Arrondissement,2893.0
Modern 1-BR apartment with Free WiFi near Gare de Lyon: Comfort and Convenience in Paris,2,4,38.0, 12th Arrondissement,4185.0
Lovely apartment 3 minutes walk from the Bois de Vincennes,2,4,39.0, 12th Arrondissement,3161.0
Furnished apartment 2 rooms - Gare de Lyon,2,2,31.0, 12th Arrondissement,2111.0
Magnificent 2-BR apartment - BASTILLE/ST ANTOINE,3,4,80.0, 12th Arrondissement,5556.0
Spacious and Modern 35m2 Apartment with Elevator in Charenton,2,4,32.0, 12th Arrondissement,2222.0
"Newly renovated flat on the 10th floor with a panoramic view, bright, equipped and spacious",1,3,50.0, 12th Arrondissement,2778.0
"Beautiful flat with balcony and view, 12th arrondissement, Daumesnil sector",3,6,50.0, 12th Arrondissement,2550.0
41.Appart 4Pers#1 Bedroom #Père Lachaise #Nation,2,4,35.0, 12th Arrondissement,2400.0
"Ivry-sur-Seine - Well-lit 1-BR apartment with interior garden, close to Paris-Bercy",2,4,24.0, 12th Arrondissement,2108.0
"Lovely & wonderful flat, Paris",3,4,61.0, 12th Arrondissement,2696.0
Gorgeous Large Studio with Free WiFi near Gare de Lyon: Comfort and Convenience in Paris,1,2,25.0, 12th Arrondissement,3069.0
Independent Studio with Free WiFi near Gare de Lyon: Comfort and Convenience in Paris,1,2,21.0, 12th Arrondissement,2790.0
Montreuil Saint Mandé - Tranquil Premium Studio near Bois de Vincennes and Parc Floral,1,2,18.0, 12th Arrondissement,2139.0
Montreuil Saint Mandé - Tranquil 1-BR apartment near Bois de Vincennes and Parc Floral,2,4,38.0, 12th Arrondissement,3069.0
"Charming, spacious apartment (Paris)",3,4,110.0, 12th Arrondissement,3950.0
"Awesome, beautiful flat to rent end of july (Ivry-sur-Seine)",3,3,90.0, 12th Arrondissement,2700.0
25m2 flat close to Nation - Paris 11,1,3,25.0, 12th Arrondissement,1600.0
Jungle escape under the Parisian sky,3,4,44.0, 12th Arrondissement,3200.0
Ivry-sur-Seine - Nice studio,1,2,22.0, 12th Arrondissement,3038.0
Apartment Montreuil just near Paris Saint Mandé Line1,3,4,65.0, 12th Arrondissement,2200.0
Ivry-sur-Seine - Nice 1-BR apartment,2,2,39.0, 12th Arrondissement,5177.0
"Awesome, great apartment, brand new!",2,3,60.0, 12th Arrondissement,3000.0
Bright studio with amazing view,1,4,31.0, 12th Arrondissement,1700.0
"3 room flat, all fitted, in Paris",3,4,68.0, 12th Arrondissement,2000.0
"Charming and modern flat near school, RER and lines 1 and 8and un",2,2,55.0, 12th Arrondissement,2150.0
Nice flat next to Paris,1,4,76.0, 12th Arrondissement,1750.0
Modern apartment with nice neighbours (Paris),2,2,53.0, 12th Arrondissement,2500.0
Appartement tout confort à Vincennes,2,2,38.0, 12th Arrondissement,2000.0
New and carefully furnished two-room apartment with a wonderful view of Paris,2,3,45.0, 12th Arrondissement,2400.0
Neat & cute Full furnish apartment  Paris 11eme,2,2,51.0, 12th Arrondissement,1990.0
Fashionable and fantastic suite in the heart of town,1,2,28.0, 12th Arrondissement,2200.0
"Parc Montsouris, Charming 3 rooms, 2 bedrooms, Sunny",1,2,49.0, 13th Arrondissement,2650.0
Private bedroom in shared flat,2,1,14.0, 13th Arrondissement,967.0
Private bedroom in shared flat,2,1,12.0, 13th Arrondissement,922.0
Private bedroom in shared apartment,2,1,15.0, 13th Arrondissement,967.0
Private bedroom in shared flat,2,1,16.0, 13th Arrondissement,1067.0
Private bedroom in shared flat,2,1,17.0, 13th Arrondissement,1022.0
Charming flat in the heart of the 13th arrondissement - Mobility lease,1,2,35.0, 13th Arrondissement,2111.0
"50 m² Three-Room Apartment in the Croulebarbe District, 13th Arrondissement of Paris",2,2,50.0, 13th Arrondissement,2111.0
Modern 1-BR apartment with Free WiFi near Gare de Lyon: Comfort and Convenience in Paris,2,4,38.0, 13th Arrondissement,4185.0
"Cosy, central, quiet, romantic, design Flat",2,2,40.0, 13th Arrondissement,2700.0
Superb flat located in the heart of the Saint Germain district,1,2,25.0, 13th Arrondissement,2200.0
Rental Furnished Appartment - 2 Rooms - 45m² - Latin Quarter - Saint Germain de Prés - Odéon- 75005,2,2,45.0, 13th Arrondissement,2544.0
Great & cozy studio,1,2,24.0, 13th Arrondissement,2000.0
Furnished flat rental - Tolbiac,4,7,80.0, 13th Arrondissement,4476.0
Gorgeous Large Studio with Free WiFi near Gare de Lyon: Comfort and Convenience in Paris,1,2,25.0, 13th Arrondissement,3069.0
Independent Studio with Free WiFi near Gare de Lyon: Comfort and Convenience in Paris,1,2,21.0, 13th Arrondissement,2790.0
Cosy Haussmanian Appartment,3,4,70.0, 13th Arrondissement,3300.0
"Awesome, beautiful flat to rent end of july (Ivry-sur-Seine)",3,3,90.0, 13th Arrondissement,2700.0
Ivry-sur-Seine - Nice studio,1,2,22.0, 13th Arrondissement,3038.0
Close to 'Jardin des Plantes',1,2,27.0, 13th Arrondissement,1750.0
Ivry-sur-Seine - Nice 1-BR apartment,2,2,39.0, 13th Arrondissement,5177.0
Bright studio with amazing view,1,4,31.0, 13th Arrondissement,1700.0
"Gorgeous room to share in flat in Gentilly, less than 25 minutes from the center of the capital",1,1,20.0, 13th Arrondissement,1105.0
"3 room flat, all fitted, in Paris",3,4,68.0, 13th Arrondissement,2000.0
Private Room in a Charming Shared Apartment near Metro and Jardin des Plantes,1,1,10.0, 13th Arrondissement,1556.0
Flat F2 Parc Montsouris Paris,1,2,42.0, 13th Arrondissement,2000.0
Spacious and Accessible Apartment with Modern Amenities,2,2,35.0, 13th Arrondissement,3565.0
Charming Studio with Versatile Bedding Options and Fully Equipped Kitchenette,1,2,20.0, 13th Arrondissement,2325.0
Charming Studio Paris 15,1,2,26.0, 14th Arrondissement,1300.0
"Parc Montsouris, Charming 3 rooms, 2 bedrooms, Sunny",1,2,49.0, 14th Arrondissement,2650.0
Rental Furnished flat - 3 rooms - 54m² - Parc Montsouris,3,4,54.0, 14th Arrondissement,3761.0
Rent Furnished Apartment - Denfert Rochereau - Port Royal,5,6,108.0, 14th Arrondissement,5160.0
Rental Furnished flat - 4 rooms - 95m² - Montparnasse,4,6,95.0, 14th Arrondissement,4324.0
Flat for 2/3 people Rue Liancourt,2,2,45.0, 14th Arrondissement,1800.0
Superb 80m2 flat in the 14 arrondissement of Paris.,3,3,80.0, 14th Arrondissement,4000.0
Studio in Montparnasse,1,2,47.0, 14th Arrondissement,3614.0
Lovely studio close to Jardin du Luxembour,1,2,35.0, 14th Arrondissement,2590.0
34m2 flat near the Musée Bourdelle!,2,4,34.0, 14th Arrondissement,2611.0
Bright & Cozy Studio with Great Amenities | Close to Eiffel Tower,1,2,32.0, 14th Arrondissement,1850.0
Charming and Bright 2-Bedroom Apartment in Quiet Courtyard,3,3,63.0, 14th Arrondissement,2756.0
"50 m² Three-Room Apartment in the Croulebarbe District, 13th Arrondissement of Paris",2,2,50.0, 14th Arrondissement,2111.0
Cosy Furnished Apartment - 2 Rooms - 56m2 - Plaisance - Porte de Vanves - 75014 Paris,2,2,56.0, 14th Arrondissement,3147.0
Charming and Spacious 40m² Studio near Montparnasse | 14th District,1,4,40.0, 14th Arrondissement,2695.0
Stunning 64m² two-bedroom apartment just opposite Gare Montparnasse.,3,3,64.0, 14th Arrondissement,4222.0
Great & cozy studio,1,2,24.0, 14th Arrondissement,2000.0
Cozy and gorgeous flat close to park,1,2,28.0, 14th Arrondissement,2385.0
Cosy studio  - 14th arrondissement,1,2,22.0, 14th Arrondissement,2222.0
"Two-Room Apartment with Balcony in Plaisance, 14th Arrondissement, Paris",2,2,33.0, 14th Arrondissement,1888.0
Furnished Appartment - 3 Rooms - 70m² - Montparnasse,3,4,70.0, 14th Arrondissement,3910.0
Discovering Paris' Calm and Serene Family District: Exploring the 15th Arrondissement,1,1,11.0, 14th Arrondissement,1444.0
Luxembourg - Assas - 3 Bedrooms,3,4,95.0, 14th Arrondissement,10200.0
Quiet furnished apartment rental overlooking the garden,1,2,28.0, 14th Arrondissement,1600.0
Malakoff - Lovely studio near Paris Expo Porte de Versailles,1,2,16.0, 14th Arrondissement,2263.0
Malakoff - Lovely studio with terrace near Paris Expo Porte de Versailles,1,2,16.0, 14th Arrondissement,2821.0
Quiet & wonderful home in Montrouge,3,5,69.0, 14th Arrondissement,3200.0
Cute & fantastic home close to city center (Paris),2,4,41.0, 14th Arrondissement,3000.0
Apartment 1 bedroom - 387 sf - clear and calm - Eiffel Tower view.,2,3,36.0, 14th Arrondissement,1950.0
Charming and furnished apartment in Paris 14th (2 bedrooms),3,4,41.0, 14th Arrondissement,2900.0
Elegant Apartment - Balcony - Brancion,2,2,50.0, 15th Arrondissement,3111.0
"Quiet, charming 2-room flat",2,2,44.0, 15th Arrondissement,2000.0
Amazing large flat with Eiffel Tower view,3,4,52.0, 15th Arrondissement,3000.0
Nice & gorgeous suite conveniently located,1,2,42.0, 15th Arrondissement,1800.0
Charming Studio Paris 15,1,2,26.0, 15th Arrondissement,1300.0
Gorgeous studio in the 16th district,1,1,24.0, 15th Arrondissement,1300.0
Apartment 37 m2 near the Parc des Expositions,1,2,37.0, 15th Arrondissement,1400.0
Cozy apartment entirely renovated (15th district),2,2,22.0, 15th Arrondissement,1730.0
Fantastic and great home in Paris,2,2,30.0, 15th Arrondissement,1800.0
"Bright, quiet home in Bretten",3,5,69.0, 15th Arrondissement,4250.0
Charming and nice home in Invalides,4,5,111.0, 15th Arrondissement,5830.0
"Cosy, functional studio",1,1,11.0, 15th Arrondissement,850.0
ID 395 cozy studio in the 7th arrondissement,1,2,28.0, 15th Arrondissement,1790.0
Charming Two-Room Furnished Apartment with Eiffel Tower View,2,2,55.0, 15th Arrondissement,3842.0
Charming studio close to the Eiffel Tower with a fan,1,1,10.0, 15th Arrondissement,900.0
Charming apartment near Quais de Seine,3,4,69.0, 15th Arrondissement,6722.0
Furnished 4-room Apartment - Spacious and Stylish Living,4,9,92.0, 15th Arrondissement,4564.0
Rental Furnished flat - 4 rooms - 95m² - Montparnasse,4,6,95.0, 15th Arrondissement,4324.0
Beautiful loft in a nice area,3,6,78.0, 15th Arrondissement,4300.0
Magnificent flat 1BDR Rue du commerce,2,2,46.0, 15th Arrondissement,2812.0
Apartement Avenue de Versailles,3,2,85.0, 15th Arrondissement,3788.0
Elegant 76m² flat in the heart of the 15th arrondissement - Mobility lease,2,4,76.0, 15th Arrondissement,5889.0
Wonderful flat rue de la Convention,4,4,76.0, 15th Arrondissement,4300.0
Furnished Apartment for Rent - 3 Rooms - 74m2 - Auteuil - St Cloud,3,4,74.0, 15th Arrondissement,3861.0
"42m2 apartment with one bedroom in the 16th arrondissement, close to transportation.",2,2,42.0, 15th Arrondissement,2667.0
"Very nice flat, furnished with care with stunning view - EIFFEL TOWER",1,2,40.0, 15th Arrondissement,2056.0
Charm and Comfort in Vanves,1,2,26.0, 15th Arrondissement,1400.0
