Address,District/Arrondissement,Zipcode,Rent,Cost,Maintenance,Number of rooms,Size,Property Type,"Co-Living (1=Yes, 0=No)","Are Pets Allowed (1=Yes, 0=No)",Lease Duration (Months),Latitude,Longitude
190 Avenue Montaigne,13,7514,1652,598842,139,3,715,Apartment,0,1,10,48.897496,2.287179
57 Rue de la Paix,13,7503,2587,4618092,97,1,665,Apartment,0,1,17,48.880647,2.414206
140 Rue de la Paix,18,7517,7868,3410944,179,4,805,Duplex,0,0,15,48.843385,2.443613
73 Rue de Vaugirard,9,7520,9787,3930683,73,3,465,Apartment,1,1,13,48.874565,2.301216
105 Boulevard Saint-Germain,2,7505,9424,1784624,40,1,1454,Villa,1,0,7,48.882347,2.315434
200 Rue de Vaugirard,1,7513,7121,2319923,88,4,1362,Duplex,0,1,9,48.885415,2.314232
49 Rue du Faubourg Saint-Honoré,19,7504,6327,3496774,56,2,916,Apartment,0,1,35,48.867067,2.442093
80 Rue de Rivoli,17,7510,4887,4545291,47,2,1948,Duplex,1,0,7,48.870594,2.27827
175 Avenue Montaigne,13,7519,9154,3670693,70,1,368,Apartment,0,1,17,48.848012,2.402161
92 Boulevard Haussmann,2,7514,4634,473067,57,2,1752,Duplex,1,1,22,48.886942,2.362289
52 Boulevard Saint-Germain,16,7506,9050,1775201,177,4,855,Duplex,1,1,34,48.838422,2.421569
151 Rue de Vaugirard,3,7512,1036,503451,57,2,1330,Apartment,1,1,28,48.88774,2.42023
157 Rue de Rivoli,15,7510,1178,1557748,78,5,1071,Apartment,1,0,29,48.826061,2.425884
162 Rue de la République,18,7510,1952,106957,77,5,689,Apartment,0,1,17,48.832323,2.3577
29 Avenue des Champs-Élysées,7,7516,1959,4723911,48,5,884,Villa,0,0,4,48.871141,2.412874
153 Rue de la République,7,7508,1843,4692931,166,4,774,Apartment,1,1,4,48.829332,2.268056
86 Rue de la République,16,7505,5696,2603314,57,4,1781,Villa,1,0,3,48.86272,2.367826
8 Rue Saint-Honoré,15,7512,2304,2260890,173,1,1307,Apartment,1,0,29,48.805879,2.357203
196 Avenue des Champs-Élysées,11,7501,3507,2725605,165,4,1615,Apartment,1,0,22,48.812027,2.33453
193 Rue de la République,19,7510,3750,3856409,58,4,1184,Villa,1,0,19,48.875613,2.335501
9 Rue de la République,12,7507,7014,3885190,120,2,370,Apartment,1,0,21,48.86797,2.293079
199 Rue de la République,15,7518,4031,190946,85,1,1900,Villa,0,1,35,48.82175,2.4405
37 Rue de Rivoli,18,7510,5072,1068111,161,4,1965,Villa,1,0,36,48.853115,2.393999
140 Rue de Vaugirard,17,7506,1063,1313120,117,5,1396,Duplex,1,1,36,48.861808,2.405574
81 Avenue Montaigne,2,7518,3374,953014,165,4,1312,Duplex,0,0,20,48.81691,2.269413
72 Avenue Montaigne,14,7504,1768,1080918,34,4,1551,Apartment,1,0,18,48.896628,2.406823
5 Boulevard Saint-Germain,4,7515,6988,566936,152,2,1985,Apartment,1,0,10,48.893339,2.32941
10 Rue du Faubourg Saint-Honoré,8,7505,5122,1242880,72,2,1979,Duplex,0,1,24,48.81034,2.400046
45 Boulevard Saint-Germain,2,7505,9228,991594,185,3,1024,Apartment,1,0,26,48.85953,2.405093
103 Rue de la Paix,17,7505,4012,1064147,183,4,1262,Duplex,1,1,27,48.841634,2.419971
35 Rue de Vaugirard,5,7513,7786,1492336,167,1,1145,Apartment,0,0,1,48.811005,2.432916
143 Rue de la République,13,7519,5970,2862328,135,4,1387,Villa,0,1,36,48.850863,2.328455
108 Boulevard Haussmann,3,7512,8747,671327,155,3,1849,Duplex,1,1,35,48.882236,2.347442
175 Avenue Montaigne,14,7503,3761,4584571,53,1,569,Duplex,0,1,28,48.872752,2.397735
112 Rue de la République,2,7515,1132,2119544,73,3,802,Villa,0,1,9,48.839113,2.254006
96 Boulevard Haussmann,18,7517,5180,1638584,101,3,1494,Apartment,0,1,14,48.899668,2.284085
88 Rue de la Paix,20,7505,9079,571864,79,2,1180,Duplex,1,0,15,48.801757,2.413767
117 Rue de la Paix,14,7504,3942,4190347,171,3,1617,Villa,0,0,12,48.869905,2.342874
33 Rue Saint-Honoré,13,7506,4047,4177884,97,1,806,Duplex,1,0,13,48.882636,2.275788
3 Rue de la Paix,5,7512,9945,1550595,111,1,840,Villa,0,1,35,48.813787,2.353462
113 Rue Saint-Honoré,13,7505,2296,4869572,74,3,1387,Duplex,1,1,30,48.898084,2.36217
77 Boulevard Saint-Germain,9,7502,3715,4195685,129,2,399,Apartment,1,1,23,48.889395,2.251371
47 Rue de la Paix,7,7508,3756,4487338,200,1,398,Apartment,1,1,35,48.882187,2.440857
69 Rue du Faubourg Saint-Honoré,18,7515,6644,2923341,135,1,1545,Villa,1,0,30,48.822137,2.276298
58 Boulevard Haussmann,10,7509,8769,1005121,80,4,1302,Apartment,0,1,27,48.834194,2.383003
82 Rue du Faubourg Saint-Honoré,2,7506,1461,2403114,59,4,1680,Villa,1,1,16,48.823601,2.382244
79 Rue de la République,14,7507,8437,295150,102,3,1917,Duplex,1,1,17,48.830281,2.331292
136 Rue de Vaugirard,17,7510,8212,1131981,171,2,1392,Villa,0,0,6,48.806973,2.395374
11 Avenue des Champs-Élysées,7,7519,9172,242853,38,4,875,Duplex,1,1,19,48.884141,2.265837
156 Avenue Montaigne,16,7505,5671,1061330,137,3,1039,Villa,0,1,31,48.821637,2.292366
4 Rue de Rivoli,8,7503,4911,2358676,109,3,603,Apartment,1,1,13,48.853265,2.396141
154 Rue du Faubourg Saint-Honoré,14,7515,5132,2857616,119,3,1519,Apartment,1,1,15,48.888796,2.438177
60 Rue Saint-Honoré,15,7505,3749,4673009,80,3,1067,Apartment,1,1,2,48.806383,2.301171
123 Rue de la Paix,20,7505,1728,2416951,38,1,741,Apartment,0,0,11,48.836311,2.329636
106 Boulevard Haussmann,10,7520,1037,558351,44,4,1851,Villa,0,1,26,48.821179,2.284923
192 Boulevard Saint-Germain,6,7516,6012,4253201,198,4,1981,Duplex,0,1,15,48.893294,2.258704
192 Boulevard Saint-Germain,19,7508,5512,160461,135,2,449,Villa,1,0,21,48.888286,2.412261
143 Rue Saint-Honoré,10,7512,7721,3556169,61,5,422,Villa,0,1,10,48.839529,2.405669
101 Rue du Faubourg Saint-Honoré,20,7520,8979,3187341,192,3,1025,Villa,1,1,10,48.826331,2.300055
85 Rue de Rivoli,15,7509,4909,537700,75,2,947,Apartment,0,1,6,48.892974,2.376001
147 Rue de Vaugirard,18,7506,5400,346300,190,4,1432,Duplex,1,0,31,48.815349,2.34223
64 Rue de la République,17,7503,1485,4452862,72,4,855,Apartment,0,0,33,48.822685,2.314401
84 Rue du Faubourg Saint-Honoré,7,7518,3742,1987428,175,1,1419,Villa,0,1,4,48.849791,2.406703
172 Boulevard Saint-Germain,4,7503,3533,2571159,66,5,472,Villa,1,0,34,48.84391,2.402534
41 Rue de la Paix,8,7516,2544,2874229,167,5,338,Duplex,0,1,8,48.835336,2.283638
180 Boulevard Saint-Germain,8,7517,2845,3279296,165,5,1522,Apartment,0,1,9,48.831036,2.290804
53 Rue Saint-Honoré,5,7512,7148,4301486,128,5,1979,Villa,1,0,9,48.814494,2.327064
154 Rue Saint-Honoré,9,7501,5257,1199660,193,2,829,Apartment,1,1,23,48.828715,2.442864
196 Rue de la Paix,14,7514,7926,4758433,134,1,1443,Villa,1,1,35,48.895309,2.361121
145 Boulevard Haussmann,7,7511,9961,3419507,197,2,427,Duplex,0,0,24,48.878061,2.318422
161 Rue de la République,4,7504,5493,4894332,61,3,1863,Apartment,0,0,14,48.89231,2.447286
85 Rue de Vaugirard,18,7509,4233,4974872,64,5,734,Duplex,0,0,23,48.817116,2.345748
104 Rue de Vaugirard,5,7517,9959,3053535,44,4,1978,Duplex,1,1,34,48.888203,2.295472
80 Rue de la République,16,7515,8368,3602638,147,2,1893,Duplex,0,1,28,48.816261,2.39902
164 Rue Saint-Honoré,11,7519,5512,4886641,156,2,1372,Duplex,0,1,7,48.836337,2.259681
41 Boulevard Haussmann,2,7508,4322,2680191,141,2,1799,Duplex,0,1,36,48.871341,2.310029
139 Rue de Rivoli,4,7506,9351,4733634,41,3,880,Villa,1,0,19,48.821414,2.348383
136 Rue Saint-Honoré,10,7504,6863,3967600,175,5,559,Villa,0,1,27,48.882941,2.261107
104 Rue de la République,18,7519,3646,1567324,48,1,597,Duplex,0,0,26,48.862627,2.330688
37 Rue de la Paix,2,7510,1575,3394387,142,4,1607,Villa,1,1,3,48.846311,2.252398
120 Rue du Faubourg Saint-Honoré,14,7518,5705,4297613,56,2,402,Villa,0,0,11,48.88277,2.402729
10 Avenue des Champs-Élysées,4,7507,2946,236538,142,4,1824,Apartment,0,1,15,48.894388,2.256532
120 Rue de Vaugirard,11,7517,3091,3876243,112,5,377,Villa,1,1,17,48.829112,2.308734
6 Avenue des Champs-Élysées,20,7505,4287,819431,99,4,1673,Villa,1,0,13,48.811783,2.32579
70 Rue de la République,16,7514,2126,2338295,98,3,1393,Villa,1,1,33,48.887428,2.305772
129 Rue de la Paix,15,7510,6422,331436,64,1,546,Duplex,1,1,8,48.854993,2.302476
182 Rue de la République,16,7520,8383,1728481,62,5,582,Duplex,1,0,30,48.806526,2.320442
16 Rue de Rivoli,20,7516,7282,4476082,103,3,1385,Apartment,1,1,31,48.855766,2.382302
158 Rue du Faubourg Saint-Honoré,4,7518,3511,4510341,101,2,423,Duplex,1,0,16,48.877535,2.251446
175 Rue du Faubourg Saint-Honoré,3,7519,8520,297287,134,2,536,Duplex,0,1,6,48.83338,2.387919
77 Rue de Vaugirard,5,7516,7292,2292201,51,4,1827,Villa,0,0,13,48.886148,2.391019
57 Rue du Faubourg Saint-Honoré,7,7507,1630,1916272,147,3,843,Villa,1,1,14,48.842177,2.254372
154 Rue du Faubourg Saint-Honoré,6,7504,4274,435907,122,1,1731,Villa,0,0,25,48.826709,2.359272
96 Rue de la République,13,7505,5529,3882690,122,5,1569,Apartment,1,1,30,48.890816,2.435859
188 Avenue des Champs-Élysées,4,7511,8115,1208651,99,1,1038,Duplex,1,0,26,48.881165,2.446441
165 Rue de la République,18,7520,2888,3172573,179,2,712,Apartment,1,0,20,48.890357,2.392274
50 Rue de Rivoli,12,7513,6332,1354620,161,4,873,Villa,0,1,16,48.857498,2.393798
122 Rue de Vaugirard,7,7520,6770,1872704,111,5,1974,Apartment,1,1,31,48.821323,2.37961
109 Avenue des Champs-Élysées,7,7503,8439,215831,88,5,999,Duplex,0,1,12,48.861433,2.363954
141 Avenue Montaigne,8,7514,1106,4563510,165,1,1918,Apartment,0,0,18,48.807528,2.259385
119 Avenue Montaigne,8,7517,3649,1793022,123,2,798,Apartment,1,0,32,48.856254,2.387399
23 Rue de la Paix,18,7518,1024,278093,105,5,415,Duplex,0,0,6,48.872622,2.288312
19 Boulevard Haussmann,18,7512,9183,1258218,125,2,1868,Villa,1,1,32,48.816894,2.289943
104 Rue du Faubourg Saint-Honoré,10,7510,9723,4416200,159,4,965,Apartment,1,1,34,48.846324,2.338703
136 Boulevard Haussmann,6,7512,8808,392293,61,2,1314,Villa,0,1,15,48.825086,2.428268
56 Rue du Faubourg Saint-Honoré,5,7506,1772,4466211,103,2,1090,Duplex,0,0,3,48.895286,2.33807
57 Rue de Vaugirard,20,7519,4300,4227944,189,3,1854,Apartment,1,1,23,48.813153,2.26197
44 Rue de Vaugirard,14,7508,1093,980170,103,4,356,Duplex,1,1,33,48.834412,2.286786
32 Boulevard Haussmann,5,7514,8309,1526232,199,1,889,Apartment,1,1,5,48.897391,2.319873
28 Rue du Faubourg Saint-Honoré,1,7509,3155,238729,67,4,1361,Duplex,1,1,7,48.801564,2.336227
128 Avenue Montaigne,8,7509,2185,251879,111,3,866,Duplex,0,1,9,48.880517,2.250675
31 Rue de la Paix,8,7501,3134,4692160,103,4,1789,Villa,0,1,34,48.822521,2.304809
114 Rue de la République,8,7510,9644,396519,88,3,1836,Duplex,1,0,11,48.889855,2.340232
32 Avenue des Champs-Élysées,6,7507,5899,2684004,38,2,600,Apartment,0,1,20,48.886461,2.308797
152 Rue de Vaugirard,9,7513,5563,990668,143,5,1563,Duplex,1,0,12,48.877917,2.40912
24 Rue de la Paix,7,7518,7503,702865,171,1,1794,Villa,1,0,5,48.897176,2.332245
12 Boulevard Saint-Germain,19,7502,4214,4311497,75,1,669,Villa,1,0,36,48.834342,2.390283
61 Rue de Rivoli,14,7520,9580,4019025,188,1,601,Villa,0,0,26,48.849542,2.312204
21 Rue de Rivoli,13,7504,2834,1327487,88,1,774,Apartment,1,1,34,48.807313,2.444055
200 Rue de Rivoli,17,7509,4864,2061405,129,3,1416,Apartment,0,0,28,48.875098,2.314022
93 Rue de la Paix,3,7504,2585,4566026,33,1,626,Duplex,0,1,9,48.878669,2.264399
52 Rue de Vaugirard,12,7513,8086,691896,131,1,1184,Apartment,0,0,23,48.878789,2.363526
140 Avenue des Champs-Élysées,12,7506,3077,4894986,192,3,1072,Villa,0,0,5,48.849077,2.426753
90 Rue du Faubourg Saint-Honoré,1,7506,6703,722054,69,1,1159,Duplex,1,1,15,48.822333,2.413307
73 Avenue des Champs-Élysées,6,7509,3776,3994829,135,5,1731,Duplex,1,0,13,48.842898,2.435667
57 Rue de Vaugirard,13,7514,7848,3760196,163,2,358,Apartment,1,1,31,48.839299,2.363844
168 Boulevard Haussmann,14,7520,2126,2014398,175,4,1374,Apartment,0,1,18,48.880202,2.391427
154 Rue de la Paix,7,7517,4984,2123367,44,1,399,Villa,0,1,28,48.845856,2.42631
91 Rue de la Paix,2,7520,7790,2208107,117,2,1712,Duplex,0,0,20,48.803375,2.378902
115 Rue de la Paix,18,7520,7849,1091192,31,4,1054,Villa,1,0,34,48.833806,2.272773
153 Boulevard Saint-Germain,9,7509,6014,3190436,90,5,501,Duplex,0,1,22,48.831388,2.374294
137 Avenue des Champs-Élysées,3,7520,1505,4858404,94,2,1040,Villa,0,1,13,48.866244,2.430661
67 Boulevard Saint-Germain,15,7509,1068,1795922,87,3,1197,Apartment,1,0,33,48.86946,2.30039
4 Rue Saint-Honoré,17,7514,4199,4585763,182,4,1229,Apartment,0,0,3,48.826424,2.445744
18 Rue Saint-Honoré,6,7505,8090,1697582,139,4,996,Duplex,0,1,32,48.825774,2.419576
127 Avenue Montaigne,5,7502,4986,1738530,166,5,1725,Duplex,1,0,25,48.811726,2.433462
169 Boulevard Saint-Germain,12,7503,9731,2497869,103,3,779,Villa,0,1,26,48.808252,2.317076
21 Avenue Montaigne,20,7516,3972,4192154,113,5,646,Apartment,1,0,20,48.828306,2.318518
192 Boulevard Saint-Germain,13,7514,7966,4216497,47,3,714,Apartment,1,0,32,48.853065,2.443942
3 Avenue des Champs-Élysées,15,7502,8827,4866819,85,2,1411,Duplex,0,1,34,48.848632,2.293898
103 Rue Saint-Honoré,11,7519,9770,2785072,131,3,852,Villa,0,1,31,48.835286,2.444117
28 Rue de la Paix,4,7510,9063,1352169,189,3,1587,Apartment,1,1,35,48.870707,2.25155
1 Avenue des Champs-Élysées,15,7519,9226,3969118,93,5,792,Apartment,1,1,27,48.865232,2.307409
86 Rue de la République,12,7507,8600,1612174,95,5,1186,Apartment,0,0,25,48.847893,2.400315
56 Boulevard Haussmann,18,7507,7984,577168,188,2,1334,Apartment,0,0,8,48.836653,2.293406
88 Rue du Faubourg Saint-Honoré,8,7508,6106,3894091,139,4,1800,Duplex,0,1,27,48.835515,2.338112
24 Boulevard Haussmann,13,7510,9049,4815897,184,2,1766,Apartment,0,0,1,48.82126,2.431958
43 Rue de Rivoli,12,7507,2147,3942520,47,1,1051,Apartment,0,0,13,48.871043,2.286353
82 Rue de Vaugirard,18,7504,4613,2813728,63,2,878,Duplex,1,0,4,48.859855,2.392016
111 Boulevard Saint-Germain,11,7515,6933,3722721,53,3,1194,Villa,0,0,8,48.849636,2.269396
173 Rue de Rivoli,20,7506,6339,837476,138,2,1348,Duplex,1,0,31,48.892386,2.352653
168 Rue de la Paix,12,7501,5108,3657268,195,4,1005,Villa,0,0,18,48.860751,2.437663
129 Rue du Faubourg Saint-Honoré,7,7508,1885,4449186,94,2,1389,Apartment,0,0,29,48.809742,2.282161
107 Boulevard Haussmann,19,7502,2993,3509324,83,5,1688,Apartment,1,0,24,48.85273,2.264177
189 Boulevard Haussmann,17,7514,8307,743329,36,2,1536,Duplex,1,1,1,48.802973,2.380078
76 Avenue Montaigne,3,7515,6545,3552345,139,2,1043,Duplex,0,0,13,48.892309,2.305882
102 Boulevard Saint-Germain,7,7518,7672,2871358,67,5,1024,Villa,0,0,35,48.841758,2.277378
40 Rue du Faubourg Saint-Honoré,11,7515,1238,1620595,183,1,1468,Villa,1,1,29,48.880848,2.268678
122 Rue de Vaugirard,1,7517,5518,3881224,142,2,626,Duplex,0,1,24,48.882078,2.325743
131 Rue de la Paix,2,7512,9593,3861617,151,1,1923,Apartment,1,0,3,48.821141,2.331379
42 Avenue Montaigne,7,7518,7670,469089,50,3,414,Apartment,0,0,19,48.870486,2.436903
44 Avenue des Champs-Élysées,14,7520,8781,1103059,115,2,1053,Apartment,1,0,27,48.867579,2.408432
41 Rue de la République,16,7514,5473,4682472,157,3,460,Apartment,0,1,12,48.847102,2.258271
21 Rue de Rivoli,1,7514,9207,4212861,122,2,889,Villa,1,0,28,48.877828,2.326123
149 Rue de Vaugirard,16,7502,9883,3538867,82,1,1201,Villa,0,1,2,48.840246,2.384096
173 Avenue Montaigne,2,7512,7364,203630,134,3,1879,Duplex,0,0,17,48.8047,2.363751
132 Rue de Vaugirard,15,7516,1504,1288914,64,3,1334,Villa,1,0,18,48.873432,2.291718
76 Rue Saint-Honoré,8,7514,3507,2892223,136,5,1098,Apartment,1,0,16,48.812253,2.42024
26 Avenue des Champs-Élysées,11,7512,8695,2462543,195,3,1600,Duplex,1,0,13,48.8657,2.251592
73 Rue de Rivoli,18,7506,7925,2455052,61,1,310,Villa,0,1,12,48.851856,2.383141
176 Avenue Montaigne,3,7504,3196,4196396,55,2,506,Villa,0,1,12,48.869374,2.400802
112 Rue de la Paix,10,7511,6589,3951935,87,2,1589,Villa,0,1,33,48.862204,2.430157
76 Rue de la Paix,3,7508,4442,1619745,79,3,1421,Villa,0,1,27,48.827836,2.295081
186 Avenue Montaigne,4,7505,4000,4878275,130,5,1755,Duplex,0,1,1,48.805925,2.41977
140 Rue Saint-Honoré,8,7508,2505,2330476,95,4,1914,Villa,0,0,32,48.893222,2.323232
135 Rue de Rivoli,10,7513,1874,977331,170,4,1410,Duplex,1,1,28,48.816109,2.362607
176 Rue de la République,3,7517,2779,4239164,150,2,1884,Villa,1,1,2,48.849114,2.291984
1 Boulevard Haussmann,1,7510,4208,213232,103,2,1998,Villa,1,1,24,48.803665,2.298825
79 Rue de Vaugirard,5,7505,6088,3161510,51,2,697,Duplex,0,0,30,48.824287,2.316677
94 Rue de la Paix,14,7504,5923,2563403,92,3,1741,Apartment,1,1,11,48.836696,2.329489
158 Rue Saint-Honoré,15,7502,9882,2462852,104,4,1694,Villa,0,0,23,48.882261,2.379348
89 Rue du Faubourg Saint-Honoré,9,7517,7803,3331657,183,2,753,Duplex,0,0,6,48.854989,2.27106
22 Avenue Montaigne,8,7508,2817,1925301,183,2,1187,Duplex,1,0,12,48.818895,2.425973
170 Rue de Rivoli,9,7513,5222,3020358,94,1,365,Duplex,1,0,34,48.840276,2.412669
191 Rue de Vaugirard,13,7518,2573,2707290,38,3,1681,Duplex,1,1,9,48.82601,2.379781
134 Avenue des Champs-Élysées,7,7507,4779,4302242,75,2,975,Apartment,0,0,5,48.802576,2.35204
30 Boulevard Haussmann,7,7501,9833,2985536,83,5,917,Duplex,1,0,8,48.817157,2.303257
142 Avenue des Champs-Élysées,10,7518,8479,3498907,135,4,735,Apartment,1,1,30,48.816692,2.436441
76 Rue de la République,20,7509,1646,3243723,124,5,1780,Duplex,1,1,8,48.804203,2.323654
188 Avenue des Champs-Élysées,20,7518,5844,3066916,132,5,1168,Villa,0,0,29,48.862382,2.34561
173 Rue de la Paix,1,7520,4577,2295314,177,1,1869,Villa,1,0,18,48.865243,2.256767
91 Rue de la République,10,7507,3032,4883907,33,5,1320,Villa,1,0,26,48.892004,2.377385
130 Rue Saint-Honoré,13,7505,2059,332334,129,2,662,Villa,0,0,34,48.834028,2.448696
81 Rue de la Paix,5,7514,2828,2698857,37,5,1402,Apartment,0,0,26,48.89824,2.321487
186 Rue de la Paix,7,7520,2574,117231,146,5,756,Apartment,0,0,35,48.87514,2.394733
26 Rue du Faubourg Saint-Honoré,6,7505,6990,427116,46,2,1347,Duplex,0,1,17,48.829601,2.258167
174 Boulevard Haussmann,8,7511,4269,3704613,103,4,1807,Apartment,0,1,21,48.846765,2.36419
124 Boulevard Saint-Germain,9,7518,9346,263268,120,5,341,Villa,1,1,5,48.852575,2.336263
47 Avenue des Champs-Élysées,14,7517,9623,1827098,51,5,901,Villa,0,0,30,48.815633,2.417694
18 Rue de Vaugirard,18,7503,6084,3854239,186,2,1385,Apartment,1,1,5,48.891918,2.25157
102 Avenue Montaigne,12,7501,8542,942424,186,4,1981,Duplex,0,0,28,48.834193,2.352121
100 Avenue Montaigne,4,7514,8685,685011,183,3,319,Apartment,1,0,5,48.850808,2.360101
147 Rue de la République,2,7502,2350,1840968,75,1,946,Villa,1,1,5,48.82473,2.330984
29 Avenue des Champs-Élysées,15,7515,8034,4858484,120,4,822,Villa,0,1,32,48.827041,2.263764
6 Rue du Faubourg Saint-Honoré,11,7512,5469,3734328,167,1,399,Duplex,1,0,18,48.893007,2.340986
27 Rue de la République,15,7518,8998,1827583,114,4,1171,Villa,0,1,4,48.847413,2.412206
154 Rue de la Paix,8,7520,6432,4836086,45,5,925,Duplex,1,1,24,48.888154,2.31196
42 Rue de la République,16,7511,8617,798109,46,4,1800,Duplex,0,1,14,48.829399,2.422477
151 Boulevard Haussmann,17,7507,4491,914497,44,3,1009,Apartment,1,1,18,48.800818,2.260416
126 Rue du Faubourg Saint-Honoré,3,7519,4090,273717,71,3,1540,Villa,1,1,7,48.872439,2.441182
169 Avenue des Champs-Élysées,3,7517,4646,248109,127,1,650,Villa,0,0,8,48.899121,2.306668
118 Avenue Montaigne,11,7507,8442,1419457,182,3,737,Duplex,0,0,15,48.860602,2.3301
72 Boulevard Saint-Germain,18,7518,6407,533734,127,2,1792,Apartment,1,1,26,48.892706,2.341578
159 Boulevard Saint-Germain,1,7509,1438,3071527,146,4,1609,Apartment,0,1,29,48.843372,2.27143
53 Rue Saint-Honoré,14,7514,6771,1832604,154,1,1413,Villa,1,0,27,48.851731,2.330206
86 Rue de Rivoli,5,7511,3790,1606386,121,2,1206,Apartment,1,0,28,48.876294,2.317829
160 Rue de la République,9,7507,3389,344290,111,1,1184,Duplex,1,1,16,48.837481,2.257741
109 Boulevard Saint-Germain,1,7515,2900,937960,127,5,1268,Duplex,0,1,23,48.867271,2.409995
86 Rue du Faubourg Saint-Honoré,5,7514,1498,4259806,185,4,1145,Villa,1,1,6,48.891805,2.352603
163 Rue de Rivoli,20,7520,7211,4147502,51,2,824,Villa,1,1,34,48.807736,2.371497
100 Rue de Rivoli,16,7508,3050,4947069,37,5,1747,Duplex,1,0,6,48.876478,2.414022
173 Avenue des Champs-Élysées,15,7517,7551,2949087,104,5,656,Villa,0,1,8,48.875981,2.261018
13 Rue de Rivoli,7,7509,1884,2530422,50,5,965,Villa,0,0,14,48.843049,2.436518
52 Boulevard Saint-Germain,18,7508,9037,3929445,151,5,645,Apartment,0,0,30,48.84184,2.303523
198 Rue de Vaugirard,5,7501,1249,3925739,110,4,825,Duplex,1,0,26,48.833172,2.344909
63 Rue de Rivoli,18,7520,9025,3617182,171,1,435,Villa,0,0,33,48.801926,2.318626
14 Boulevard Haussmann,12,7501,1277,2246059,192,5,798,Villa,1,1,18,48.877029,2.390098
69 Avenue Montaigne,4,7505,5949,1499960,113,2,1395,Apartment,0,1,31,48.854472,2.261484
101 Rue de la Paix,11,7512,9952,3979809,171,4,1648,Duplex,0,1,16,48.827473,2.447098
182 Rue de la Paix,9,7505,6571,4943374,96,5,628,Duplex,0,1,5,48.865366,2.310602
67 Rue de Vaugirard,2,7506,7506,2134977,90,2,313,Apartment,0,1,17,48.879057,2.416922
123 Rue de Rivoli,1,7513,9940,2733277,57,1,1760,Villa,1,1,19,48.870052,2.272105
56 Boulevard Haussmann,7,7509,7967,439945,153,5,464,Villa,1,1,12,48.805267,2.403874
19 Rue de Vaugirard,7,7516,3188,4273952,85,3,1882,Duplex,1,1,20,48.894364,2.364003
72 Rue de la Paix,14,7506,8269,551762,167,3,1500,Duplex,1,0,20,48.833296,2.351813
64 Boulevard Haussmann,14,7515,2087,1833076,133,2,671,Apartment,0,0,29,48.846103,2.387352
75 Rue de Vaugirard,14,7519,2984,1703385,121,3,1871,Villa,0,0,21,48.876314,2.401016
12 Rue de Vaugirard,9,7506,5751,879384,121,3,359,Apartment,1,1,11,48.84934,2.416447
157 Rue de Rivoli,15,7514,9597,855513,120,5,1669,Apartment,0,0,27,48.83761,2.365572
156 Rue Saint-Honoré,16,7514,4205,2399380,58,5,504,Duplex,0,0,28,48.850121,2.393934
