Address,Street,Price,Area,Floor,Guest,Bed,Bath,Link
"Le Marais - Saint-Paul, Paris",Boulevard du Temple,1950,32,5,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-4th-le-marais-saint-paul-585
"Bastille, Paris",Cité de la Roquette,1880,51,1,2,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-4th-bastille-421
"Bastille, Paris",Rue Sedaine,2440,44,1,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-4th-bastille-222
"Batignolles, Paris",Rue Dulong,1950,37,1,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-17th-batignolles-761
"Pigalle, Paris",Boulevard Marguerite de Rochechouart,2050,43,3,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-9th-pigalle-294
"La Motte-Picquet Grenelle, Paris",Rue Frémicourt,2810,48,9,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-15th-la-motte-picquet-grenelle-427
"Saint-Georges, Paris",Rue de Maubeuge,2370,71,5,,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-9th-saint-georges-390
"Le Marais - République, Paris",Rue Réaumur,2490,47,2,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-3rd-le-marais-republique-544
"Épinettes, Paris",Rue Legendre,2900,81,4,,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-17th-epinettes-709
"Sentier - Montorgueil, Paris",Rue Greneta,2980,45,5,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-2nd-sentier-montorgueil-799
"Sentier - Montorgueil, Paris",Rue Tiquetonne,3120,38,3,2,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-2nd-sentier-montorgueil-818
"Batignolles, Paris",Rue de Saussure,2870,56,1,,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-17th-batignolles-839
"Pigalle, Paris",Rue Marguerite de Rochechouart,2950,63,4,4,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-9th-pigalle-795
"La Muette, Paris",Rue de Boulainvilliers,4980,142,3,,4 Bedroom,2,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-16th-la-muette-859
"Buttes-Chaumont, Paris",Avenue Simon Bolivar,2330,61,3,,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-19th-buttes-chaumont-206
"Le Marais - Saint-Paul, Paris",Rue de Saintonge,2590,50,1,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-4th-le-marais-saint-paul-570
"Le Marais - Saint-Paul, Paris",Rue Jacques Cœur,3340,61,4,,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-4th-le-marais-saint-paul-436
"Porte Dauphine, Paris",Rue Leroux,2990,63,1,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-16th-porte-dauphine-790
"Pigalle, Paris",Rue Pierre Haret,4030,105,1,,3 Bedroom,2,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-9th-pigalle-713
"Buttes-Chaumont, Paris",Avenue Simon Bolivar,2030,47,2,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-19th-buttes-chaumont-359
"Le Marais - République, Paris",Rue Pastourelle,2360,38,3,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-3rd-le-marais-republique-698
"Lamarck - Caulaincourt, Paris",Rue Lamarck,2150,56,4,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-18th-lamarck-caulaincourt-858
"Notre-Dame-de-Lorette, Paris",Rue de Maubeuge,2280,51,4,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-9th-notre-dame-de-lorette-690
"Abbesses - Montmartre, Paris",Rue de Clignancourt,2310,51,1,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-18th-abbesses-montmartre-545
"Batignolles, Paris",Rue la Condamine,2310,43,2,2,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-17th-batignolles-847
"Lamarck - Caulaincourt, Paris",Rue Caulaincourt,2390,60,3,,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-18th-lamarck-caulaincourt-240
"Sentier - Montorgueil, Paris",Rue de Cléry,2750,45,5,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-2nd-sentier-montorgueil-385
"Saint Ambroise République, Paris",Boulevard Richard-Lenoir,2580,51,2,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-11th-saint-ambroise-republique-753
"Champs-Élysées, Paris",Rue du Faubourg Saint-Honoré,2810,50,1,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-8th-champs-elysees-769
"Lamarck - Caulaincourt, Paris",Rue Caulaincourt,2890,68,5,,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-18th-lamarck-caulaincourt-566
"Europe, Paris",Rue de Turin,3280,64,5,,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-8th-europe-850
"Canal Saint-Martin, Paris",Rue Tesson,1710,37,1,2,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-10th-canal-saint-martin-656
"Buttes-Chaumont, Paris",Avenue Simon Bolivar,2330,66,3,,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-19th-buttes-chaumont-428
"Pigalle, Paris",Rue Houdon,2490,55,4,2,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-9th-pigalle-601
"Notre-Dame-de-Lorette, Paris",Rue des Martyrs,2710,76,4,2,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-9th-notre-dame-de-lorette-208
"Batignolles, Paris",Rue de Lévis,3050,50,2,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-17th-batignolles-831
"La Motte-Picquet Grenelle, Paris",Boulevard de Grenelle,1950,41,1,2,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-15th-la-motte-picquet-grenelle-404
"Passy, Paris",Rue Lauriston,2930,66,1,,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-16th-passy-886
"Le Marais - République, Paris",Rue Saint-Martin,3070,34,4,2,Jr. 1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-3rd-le-marais-republique-788
"Madeleine, Paris",Rue Tronchet,1970,41,2,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-8th-madeleine-085
"Montparnasse, Paris",Rue du Cherche-Midi,2350,53,2,2,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-15th-montparnasse-624
"Lamarck - Caulaincourt, Paris",Rue Caulaincourt,2160,57,3,,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-18th-lamarck-caulaincourt-631
"Saint-Georges, Paris",Rue Lamartine,2130,44,1,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-9th-saint-georges-675
"Monceau, Paris",Rue du Faubourg Saint-Honoré,2440,60,2,2,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-17th-monceau-127
"Monceau, Paris",Rue Cardinet,2290,45,3,2,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-17th-monceau-883
"Ternes, Paris",Avenue Mac-Mahon,2300,55,1,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-17th-ternes-079
"Champs-Élysées, Paris",Rue du Faubourg Saint-Honoré,3570,47,6,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-8th-champs-elysees-821
"Ternes, Paris",Rue de l'Arc de Triomphe,2160,42,1,2,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-17th-ternes-548
"Le Marais - Saint-Paul, Paris",Rue Saint-Gilles,2080,44,1,,Studio,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-4th-le-marais-saint-paul-023
"Champs-Élysées, Paris",Rue du Faubourg Saint-Honoré,2990,56,3,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-8th-champs-elysees-033
"Auteuil, Paris",Rue le Marois,1610,39,3,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-16th-auteuil-647
"Trocadéro, Paris",Rue Octave Feuillet,1700,35,9,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-16th-trocadero-368
"Ternes, Paris",Avenue des Ternes,1970,47,2,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-17th-ternes-118
"Le Marais - Saint-Paul, Paris",Place de Thorigny,2300,49,2,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-4th-le-marais-saint-paul-873
"Ternes, Paris",Avenue Mac-Mahon,2320,55,3,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-17th-ternes-080
"Quartier Latin, Paris",Boulevard Saint-Germain,4200,70,7,,3 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-5th-quartier-latin-696
"Louvre, Paris",Place du Marché Saint-Honoré,2530,33,5,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-1st-louvre-602
"Abbesses - Montmartre, Paris",Rue Germain Pilon,2940,85,2,4,2 Bedroom,2,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-18th-abbesses-montmartre-588
"Pont de Neuilly, Paris",Rue Jacques Dulud,3120,100,3,,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/neuilly-sur-seine-pont-de-neuilly-633
"Miromesnil, Paris",Boulevard Haussmann,4410,101,4,6,3 Bedroom,2,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-8th-miromesnil-496
"Bastille, Paris",Rue de Crussol,1580,34,2,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-4th-bastille-872
"Porte Dauphine, Paris",Rue Chalgrin,1770,30,2,,Studio,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-16th-porte-dauphine-711
"Saint-Georges, Paris",Rue de la Tour d'Auvergne,1990,47,2,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-9th-saint-georges-202
"La Muette, Paris",Rue Copernic,5130,N/A,,,3 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/pn/1013601
"Monceau, Paris",Rue Pierre Demours,2160,40,3,2,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-8th-monceau-752
"Le Marais - République, Paris",Rue Notre Dame de Nazareth,2980,59,5,,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-3rd-le-marais-republique-498
"Champs-Élysées, Paris",Rue de Bassano,3720,98,4,6,3 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-8th-champs-elysees-217
"Passy, Paris",Rue Singer,1430,42,5,,Studio,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-16th-passy-262
"Villiers, Paris",Passage Geffroy-Didelot,1550,36,1,2,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-17th-villiers-435
"Grands Boulevards, Paris",Boulevard de Bonne Nouvelle,1650,34,6,,Studio,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-2nd-grands-boulevards-007
"Batignolles, Paris",Rue Cardinet,1950,55,7,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-17th-batignolles-406
"Porte Dauphine, Paris",Rue de la Faisanderie,2530,51,3,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-16th-porte-dauphine-702
"Bastille Charonne, Paris",Rue Pétion,2080,36,3,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-11th-bastille-charonne-749
"Ternes, Paris",Rue du Faubourg Saint-Honoré,2210,35,2,2,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-17th-ternes-261
"Auteuil, Paris",Rue le Marois,2300,69,4,,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-16th-auteuil-681
"Miromesnil, Paris",Rue La Boétie,2300,38,1,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-8th-miromesnil-671
"Grands Boulevards, Paris",Rue de l'Échiquier,2880,57,1,2,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-2nd-grands-boulevards-135
"Ternes, Paris",Avenue Beaucour,2560,47,3,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-17th-ternes-295
"La Motte-Picquet Grenelle, Paris",Rue Linois,2770,55,3,4,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-15th-la-motte-picquet-grenelle-607
"Porte Dauphine, Paris",Avenue Foch,5780,85,6,,3 Bedroom,2,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-16th-porte-dauphine-689
"Champs-Élysées, Paris",Rue Lord Byron,5980,125,5,6,3 Bedroom,2,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-8th-champs-elysees-313
"La Muette, Paris",Rue Copernic,1940,32,2,2,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-16th-la-muette-143
"La Motte-Picquet Grenelle, Paris",Avenue Félix Faure,3190,85,6,,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-15th-la-motte-picquet-grenelle-782
"Lamarck - Caulaincourt, Paris",Rue Caulaincourt,3200,69,6,,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-18th-lamarck-caulaincourt-567
"Bastille, Paris",Rue de Charenton,3260,72,4,,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-4th-bastille-811
"Champs-Élysées, Paris",Av. George V,1930,38,2,,Studio,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-8th-champs-elysees-426
"Trocadéro, Paris",Rue Vineuse,3020,63,2,4,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-16th-trocadero-579
"Bastille, Paris",Avenue Daumesnil,4070,93,2,4,3 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-4th-bastille-398
"Passy, Paris",Rue de l'Annonciation,1680,38,2,,Studio,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-16th-passy-455
"La Motte-Picquet Grenelle, Paris",Quai de Grenelle,1960,28,16,,Jr. 1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-15th-la-motte-picquet-grenelle-612
"Lamarck - Caulaincourt, Paris",Rue Caulaincourt,1940,28,7,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-18th-lamarck-caulaincourt-828
"École Militaire, Paris",Rue Augereau,2950,37,1,2,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-7th-ecole-militaire-318
"Sentier - Montorgueil, Paris",Rue de Turbigo,3300,49,6,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-2nd-sentier-montorgueil-332
"Auteuil, Paris",Avenue de Versailles,3890,108,5,,3 Bedroom,2,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-16th-auteuil-862
"Ternes, Paris",Rue Poncelet,1770,41,3,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-17th-ternes-495
"Jardin du Luxembourg, Paris",Rue de la Grande Chaumière,2250,44,2,2,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-6th-jardin-du-luxembourg-724
"Champs-Élysées, Paris",Avenue Montaigne,2760,58,5,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-8th-champs-elysees-112
"Batignolles, Paris",Rue la Condamine,3010,80,2,,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-17th-batignolles-813
"Auteuil, Paris",Avenue Ferdinand Buisson,3490,90,1,,4 Bedroom,3,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-16th-auteuil-766
"Sentier - Montorgueil, Paris",Rue des Petits Carreaux,2180,47,4,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-2nd-sentier-montorgueil-429
"Villiers, Paris",Rue des Dames,3240,71,3,,3 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-17th-villiers-400
"Sentier - Montorgueil, Paris",Rue des Petits Carreaux,2200,43,1,2,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-2nd-sentier-montorgueil-272
"Batignolles, Paris",Rue des Dames,2640,84,3,4,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-17th-batignolles-759
"Le Marais - Saint-Paul, Paris",Rue des Archives,3100,60,2,,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-4th-le-marais-saint-paul-087
"Auteuil, Paris",Rue Michel Ange,4090,140,4,,3 Bedroom,2,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-16th-auteuil-679
"Miromesnil, Paris",Rue de Miromesnil,2020,40,4,2,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-8th-miromesnil-649
"Trocadéro, Paris",Vla de Longchamp,2500,41,3,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-16th-trocadero-730
"Pigalle, Paris",Avenue Trudaine,5310,148,3,5,3 Bedroom,2,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-9th-pigalle-823
"Louvre, Paris",Place du Marché Saint-Honoré,2280,36,4,2,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-1st-louvre-126
"Le Marais - Saint-Paul, Paris",Rue François Miron,2730,36,1,2,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-4th-le-marais-saint-paul-075
"Europe, Paris",Rue de Monceau,4320,102,3,,3 Bedroom,2,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-8th-europe-539
"Abbesses - Montmartre, Paris",Rue Tardieu,2210,45,3,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-18th-abbesses-montmartre-814
"Quartier Latin, Paris",Boulevard Saint-Michel,2850,68,5,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-5th-quartier-latin-793
"Invalides, Paris",Rue de Bellechasse,2910,55,1,2,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-7th-invalides-060
"Buttes-Chaumont, Paris",Avenue Simon Bolivar,1930,48,2,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-19th-buttes-chaumont-590
"Le Marais - République, Paris",Rue de Normandie,3280,66,1,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-3rd-le-marais-republique-619
"Trocadéro, Paris",Rue des Sablons,3590,90,2,,3 Bedroom,2,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-16th-trocadero-452
"Canal Saint-Martin, Paris",Quai de Valmy,1790,32,3,2,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-10th-canal-saint-martin-046
"Les Halles, Paris",Rue Coquillière,2370,53,1,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-1st-les-halles-611
"La Muette, Paris",Rue Vineuse,2790,87,4,,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-16th-la-muette-521
"Sentier - Montorgueil, Paris",Rue de Turbigo,2970,39,6,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-2nd-sentier-montorgueil-333
"Passy, Paris",Rue des Eaux,4020,100,2,,2 Bedroom,2,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-16th-passy-179
"Ternes, Paris",Avenue de la Grande Armée,3110,94,5,,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-17th-ternes-573
"Pereire, Paris",Rue Albert Samain,3760,107,7,,3 Bedroom,2,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-17th-pereire-254
"Ternes, Paris",Rue de l'Étoile,2380,60,2,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-17th-ternes-107
"Pigalle, Paris",Rue du Delta,2170,39,2,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-9th-pigalle-626
"École Militaire, Paris",Rue de Sèvres,1950,44,6,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-7th-ecole-militaire-365
"La Motte-Picquet Grenelle, Paris",Quai André Citroën,3570,62,28,,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-15th-la-motte-picquet-grenelle-731
"Ternes, Paris",Rue Laugier,2420,58,1,,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-17th-ternes-596
"Batignolles, Paris",Rue Juliette Lamber,2070,46,,2,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-17th-batignolles-614
"La Motte-Picquet Grenelle, Paris",Rue Sébastien Mercier,2890,36,4,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-15th-la-motte-picquet-grenelle-692
"Monceau, Paris",Rue Médéric,2440,37,6,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-8th-monceau-565
"Auteuil, Paris",Boulevard Exelmans,2580,85,2,,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-16th-auteuil-287
"Odéon, Paris",Rue Saint-Sulpice,3260,40,4,4,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-6th-odeon-830
"Champ de Mars, Paris",Rue de Monttessuy,6590,137,4,,3 Bedroom,2,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-7th-champ-de-mars-516
"Saint-Georges, Paris",Rue de Douai,1340,30,3,2,Studio,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-9th-saint-georges-484
"Quartier Latin, Paris",Rue des Fossés Saint-Jacques,1780,39,2,2,Studio,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-5th-quartier-latin-180
"Auteuil, Paris",Rue Chardon Lagache,2170,42,1,2,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-16th-auteuil-661
"Saint-Germain-des-Prés, Paris",Rue Dupin,2110,37,4,2,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-6th-saint-germain-des-pres-145
"Abbesses - Montmartre, Paris",Rue du Mont-Cenis,2030,47,2,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-18th-abbesses-montmartre-870
"Bastille, Paris",Rue de Lyon,2160,56,4,,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-4th-bastille-010
"Invalides, Paris",Boulevard de la Tour Maubourg,2290,45,4,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-7th-invalides-106
"Le Marais - République, Paris",Rue Meslay,3440,43,3,2,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-3rd-le-marais-republique-845
"Abbesses - Montmartre, Paris",Rue de Clignancourt,2760,92,3,,3 Bedroom,2,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-18th-abbesses-montmartre-345
"Villiers, Paris",Rue des Dames,3060,75,3,,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-17th-villiers-531
"Sentier - Montorgueil, Paris",Rue d'Aboukir,3250,67,3,4,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-2nd-sentier-montorgueil-389
"Pigalle, Paris",Rue André Antoine,3610,115,1,,3 Bedroom,2,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-9th-pigalle-270
"Invalides, Paris",Cité Martignac,4100,100,3,,2 Bedroom,2,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-7th-invalides-715
"Haussman - Saint Lazare, Paris",Rue de la Chaussée d'Antin,2090,38,5,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-9th-haussman-saint-lazare-232
"Champs-Élysées, Paris",Rue de Bassano,2200,43,4,2,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-8th-champs-elysees-737
"Commerce, Paris",Rue du Commerce,1570,38,,2,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-15th-commerce-482
"Ternes, Paris",Rue Troyon,2230,50,1,2,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-17th-ternes-053
"Champs-Élysées, Paris",Avenue des Champs-Élysées,2520,34,5,,Studio,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-8th-champs-elysees-159
"Champs-Élysées, Paris",Avenue des Champs-Élysées,2540,30,6,,Studio,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-8th-champs-elysees-276
"Champs-Élysées, Paris",Rue Lord Byron,3050,38,5,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-8th-champs-elysees-316
"Pigalle, Paris",Rue Blanche,3410,88,5,,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-9th-pigalle-190
"Ternes, Paris",Avenue Carnot,4610,87,2,,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-17th-ternes-450
"Batignolles, Paris",Square Claude Debussy,2000,64,4,,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-17th-batignolles-443
"Le Marais - République, Paris",Rue Réaumur,2700,64,2,4,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-3rd-le-marais-republique-047
"Sentier - Montorgueil, Paris",Rue Marie Stuart,2290,40,5,,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-2nd-sentier-montorgueil-003
"Le Marais - République, Paris",Rue Notre Dame de Nazareth,3420,90,1,4,2 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-3rd-le-marais-republique-706
"École Militaire, Paris",Rue Cler,1580,37,1,,Studio,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-7th-ecole-militaire-154
"Passy, Paris",Rue Lekain,2210,33,3,2,1 Bedroom,1,https://www.theblueground.com/furnished-apartments-paris-fr/arrondissement-16th-passy-751
