Property_name,Total_rooms,Accomodation_size,Property_size,Location,Rent_per_month
Charming apartment Louvre-Saint Germain Des Près,1 Room,3 adults,80 m²,"Paris, 6th Arrondissement","€4,000"
"Great, rental flat in Saint Germain des Prés, next to Quai des Augustins - Paris",3 Rooms,4 adults,55 m²,"Paris, 6th Arrondissement","€6,600"
"Charming, comfortable, St Germain des Prés, with AC",2 Rooms,4 adults,105 m²,"Paris, 6th Arrondissement","€14,800"
Nice & gorgeous suite conveniently located,1 Room,2 adults,42 m²,"Paris, 7th Arrondissement","€1,800"
Charming and nice home in Invalides,4 Rooms,5 adults,111 m²,"Paris, 7th Arrondissement","€5,830"
ID 395 cozy studio in the 7th arrondissement,1 Room,2 adults,28 m²,"Paris, 7th Arrondissement","€1,790"
Charming Two-Room Furnished Apartment with Eiffel Tower View,2 Rooms,2 adults,55 m²,"Paris, 7th Arrondissement","€3,842"
Beautiful apartment with view of the Eiffel Tower,2 Rooms,4 adults,42 m²,"Paris, 7th Arrondissement","€3,000"
Eiffel Tower haven,1 Room,2 adults,52 m²,"Paris, 7th Arrondissement","€3,222"
One-bedroom apartment close to the Invalides,1 Room,2 adults,48 m²,"Paris, 7th Arrondissement","€2,204"
"Charming 25m² apartment located in the 6th arrondissement, close to Le Bon Marché and the Luxembourg Gardens.",2 Rooms,1 adult,25 m²,"Paris, 7th Arrondissement","€2,300"
"Élégant Appartement de Trois Pièces à Saint-Germain-des-Prés, 7ème Arrondissement, Paris",3 Rooms,4 adults,100 m²,"Paris, 7th Arrondissement","€5,133"
Modern Comfort with Vintage Charm,2 Rooms,2 adults,50 m²,"Paris, 7th Arrondissement","€3,667"
1-bedroom apartment close to the Eiffel Tower,2 Rooms,2 adults,55 m²,"Paris, 7th Arrondissement","€3,100"
Artistic Charm in the City Skyline - 4 rooms - 90m²,4 Rooms,4 adults,90 m²,"Paris, 7th Arrondissement","€6,224"
Apartment 2 rooms - 40m² - Champ de Mars,2 Rooms,2 adults,40 m²,"Paris, 7th Arrondissement","€2,998"
Invalides - Saint Dominique 2 Bedrooms,2 Rooms,4 adults,74 m²,"Paris, 7th Arrondissement","€7,200"
Apartment 2 rooms - 32m² - Champ de Mars,2 Rooms,2 adults,32 m²,"Paris, 7th Arrondissement","€2,321"
Apartment 2 rooms - 35m² - Raspail - Sèvres- Babylone,2 Rooms,2 adults,35 m²,"Paris, 7th Arrondissement","€2,276"
Studio in the heart of the 7th district,1 Room,2 adults,24 m²,"Paris, 7th Arrondissement","€1,791"
ID389 captivating apartment in the heart of Paris on Rue Bourgogne (7th arr.),2 Rooms,4 adults,28 m²,"Paris, 7th Arrondissement","€2,750"
"Beautiful studio ""Bijou"" closed to Musée",1 Room,2 adults,25 m²,"Paris, 7th Arrondissement","€2,215"
Fully furnished and ideally located studio,1 Room,2 adults,11 m²,"Paris, 7th Arrondissement","€1,728"
"Charming 42 m² Two-Room Apartment in Paris's 7th Arrondissement, Near the Eiffel Tower",2 Rooms,2 adults,42 m²,"Paris, 7th Arrondissement","€2,566"
"Cute, beautiful apartment for 4 people next to eiffel tower with dyson fan",2 Rooms,4 adults,50 m²,"Paris, 7th Arrondissement","€3,490"
Chic Apartment with Stunning Views in Residential Building - St-Germain,1 Room,2 adults,21 m²,"Paris, 7th Arrondissement","€2,017"
Magnificent 44m² apartment in Saint-Germain-des-Prés with view on the Eiffel Tower,2 Rooms,4 adults,44 m²,"Paris, 7th Arrondissement","€4,833"
Studio 20m2 near INVALIDES,1 Room,1 adult,20 m²,"Paris, 7th Arrondissement","€1,905"
Charming and beautiful Studio Haven,1 Room,2 adults,23 m²,"Paris, 7th Arrondissement","€2,222"
Studio Meublé Haussmannien,1 Room,1 adult,22 m²,"Paris, 7th Arrondissement","€1,550"
Beautiful furnished room close to the Eiffel Tower.,1 Room,5 adults,18 m²,"Paris, 7th Arrondissement","€1,444"
ID 408 Charming & cozy apt in the 7th,1 Room,4 adults,25 m²,"Paris, 7th Arrondissement","€2,000"
"Ideal accommodation for students and young workers, located in a very chic and pleasant area.",2 Rooms,1 adult,18 m²,"Paris, 7th Arrondissement","€1,833"
Superb flat for 2 people ideally located in the chic Odeon district on the Rive Gauche in Paris.,2 Rooms,2 adults,72 m²,"Paris, 7th Arrondissement","€5,556"
Rental Furnished flat - 3 rooms - 55m² - Quartier Latin,3 Rooms,4 adults,55 m²,"Paris, 7th Arrondissement","€4,453"
"Lovely 32m² apartment in the 7th arrondissement of Paris, ideal location",2 Rooms,2 adults,32 m²,"Paris, 7th Arrondissement","€2,889"
"Renovated Three-Room Apartment with Eiffel Tower View in Gros-Caillou, 7th Arrondissement, Paris",3 Rooms,4 adults,49 m²,"Paris, 7th Arrondissement","€4,400"
Paris 7th: Charming Parisian Studio with Stunning Eiffel Tower View,1 Room,2 adults,14 m²,"Paris, 7th Arrondissement","€2,000"
"Elegant 58 m² Three-Room Apartment, Renovated with Eiffel Tower View, in Paris's 7th Arrondissement",3 Rooms,4 adults,58 m²,"Paris, 7th Arrondissement","€3,911"
Charming 80m² Apartment | Central Location near Hôtel des Invalides & Champ de Mars,3 Rooms,4 adults,80 m²,"Paris, 7th Arrondissement","€6,333"
Rental Furnished flat - 3 rooms - 63m² - Champ de Mars,3 Rooms,3 adults,63 m²,"Paris, 7th Arrondissement","€6,623"
"A sumptuous 20 m² studio apartment, nestled in the heart of one of Paris's most exclusive districts, completely refurbished",1 Room,2 adults,20 m²,"Paris, 7th Arrondissement","€2,111"
Saint Germain des Prés - Penthouse View w/ AC,3 Rooms,4 adults,160 m²,"Paris, 7th Arrondissement","€25,920"
"Welcome Home: Charming Apartment, 5 minutes walk from Champ de Mars",3 Rooms,6 adults,65 m²,"Paris, 7th Arrondissement","€3,667"
Saint Germain des Pres - Rennes II,4 Rooms,6 adults,145 m²,"Paris, 7th Arrondissement","€28,800"
Saint Germain Des Pres - Sevres Babylone,2 Rooms,4 adults,80 m²,"Paris, 7th Arrondissement","€16,200"
Architect modern apartment 10 min from Eiffel Tower (with balcony),2 Rooms,2 adults,34 m²,"Paris, 7th Arrondissement","€3,400"
Quiet flat near the Eiffel Tower,2 Rooms,2 adults,55 m²,"Paris, 7th Arrondissement","€2,778"
Modern flat in quiet street,1 Room,2 adults,34 m²,"Paris, 7th Arrondissement","€2,910"
Studio in the 7th district Invalides,1 Room,2 adults,30 m²,"Paris, 7th Arrondissement","€2,500"
Charming apartment Louvre-Saint Germain Des Près,1 Room,3 adults,80 m²,"Paris, 7th Arrondissement","€4,000"
Paris 15th: Private Room near Eiffel Tower,1 Room,1 adult,10 m²,"Paris, 7th Arrondissement","€1,444"
Rent apartment in Paris during Olympic Games 2024,2 Rooms,4 adults,56 m²,"Paris, 7th Arrondissement","€5,000"
Luxury apartment 1 min from Eiffel Tower,2 Rooms,2 adults,42 m²,"Paris, 7th Arrondissement","€4,850"
"Nice, quiet and cosy studio in the heart of Paris and Olympic sites",1 Room,3 adults,31 m²,"Paris, 7th Arrondissement","€5,000"
Superb Haussmannian type apartment,2 Rooms,3 adults,75 m²,"Paris, 7th Arrondissement","€3,222"
Appart EIFFEL Tower View (4pers),2 Rooms,4 adults,46 m²,"Paris, 7th Arrondissement","€7,900"
"Charming, comfortable, St Germain des Prés, with AC",2 Rooms,4 adults,105 m²,"Paris, 7th Arrondissement","€14,800"
Charming cozy well located apartment in Paris,1 Room,4 adults,35 m²,"Paris, 7th Arrondissement","€4,500"
"Perfect, lovely studio with nice neighbours",1 Room,2 adults,25 m²,"Paris, 7th Arrondissement","€1,544"
Lovely studio in residence near the Eiffel Tower,1 Room,2 adults,18 m²,"Paris, 7th Arrondissement","€4,375"
Modern apartment near the Eiffel Tower,2 Rooms,2 adults,25 m²,"Paris, 7th Arrondissement","€4,650"
STUDENT FLAT IN  BRETEUIL/INVALIDES/SEVRES LECOURBE,1 Room,1 adult,9 m²,"Paris, 7th Arrondissement",€905
Awesome suite conveniently located,2 Rooms,4 adults,50 m²,"Paris, 8th Arrondissement","€2,650"
apt climatisé luxury Champs Elysées,3 Rooms,6 adults,100 m²,"Paris, 8th Arrondissement","€5,730"
Charming Renovated Apartment with Elevator in a Historic Building - Spacious 4-Bedroom Gem,5 Rooms,6 adults,157 m²,"Paris, 8th Arrondissement","€13,111"
Charming Studio near Parc Monceau,1 Room,2 adults,11 m²,"Paris, 8th Arrondissement","€1,556"
"Elegant 2-Bedroom Apartment with Eiffel Tower View | 15th District, Paris",1 Room,2 adults,25 m²,"Paris, 8th Arrondissement","€1,850"
"Heart of Paris: Stylish 1BR with Elevator, WiFi & Modern Amenities",2 Rooms,2 adults,33 m²,"Paris, 8th Arrondissement","€2,778"
Charming Studio of 11m2 located in the 17th district of Paris. Close to transport.,1 Room,2 adults,11 m²,"Paris, 8th Arrondissement","€1,678"
Apartment 2 rooms - 45m² - Champs Elysées - Etoile,2 Rooms,2 adults,45 m²,"Paris, 8th Arrondissement","€3,066"
Beautiful City Apartment,2 Rooms,2 adults,35 m²,"Paris, 8th Arrondissement","€2,566"
Batignolles - A charming 3 room apartment,2 Rooms,3 adults,50 m²,"Paris, 8th Arrondissement","€2,300"
"Cosy studio located in the 8th arrondissement of Paris, close to the Champs Elysées and the Arc de Triomphe.",1 Room,2 adults,18 m²,"Paris, 8th Arrondissement","€1,944"
Cosy 18m2 studio.,1 Room,2 adults,18 m²,"Paris, 8th Arrondissement","€1,944"
Stylish and nicely furnished apartment with plenty of storage space,2 Rooms,2 adults,32 m²,"Paris, 8th Arrondissement","€2,389"
Studio 26m² - Champs Elysées - Etoile,1 Room,2 adults,26 m²,"Paris, 8th Arrondissement","€2,076"
1-bedroom located in the golden triangle of Paris,2 Rooms,3 adults,80 m²,"Paris, 8th Arrondissement","€4,920"
50m² flat nestled between the Champs-Élysées and the Arc de Triomphe.,2 Rooms,1 adult,50 m²,"Paris, 8th Arrondissement","€4,667"
Flat located in great area,2 Rooms,2 adults,32 m²,"Paris, 8th Arrondissement","€2,556"
"Beautiful bright flat for 4 people at the foot of the Champs Elysée/Av. Montaigne, fully equipped and refurbished",2 Rooms,4 adults,45 m²,"Paris, 8th Arrondissement","€4,400"
Elegant apartment close to Champs-Elysees,2 Rooms,2 adults,32 m²,"Paris, 8th Arrondissement","€3,089"
"Amazing & fantastic flat, Paris",2 Rooms,2 adults,65 m²,"Paris, 8th Arrondissement","€5,340"
Charming Studio in the Heart of the 17th District - Only a Short Stroll Away from the Iconic Arc de Triomphe!,1 Room,2 adults,11 m²,"Paris, 8th Arrondissement","€1,506"
Charming Studio of 11m2 located in the 17th district of Paris. Close to transport.,1 Room,2 adults,11 m²,"Paris, 8th Arrondissement","€1,678"
Charming Studio in the heart of the 8th Arrondissement - Mobility lease,1 Room,2 adults,20 m²,"Paris, 8th Arrondissement","€2,611"
Charming Parisian Studio in the Heart of the 8th District: Fully Furnished & Secure,1 Room,2 adults,16 m²,"Paris, 8th Arrondissement","€2,000"
Concorde - Place de la Madeleine - 4 peoples,2 Rooms,4 adults,50 m²,"Paris, 8th Arrondissement","€5,250"
Beautiful 57m2 flat in the 8th arrondissement of Paris. Ideal location close to the Champs-Élysées!,2 Rooms,2 adults,58 m²,"Paris, 8th Arrondissement","€4,578"
Stunning studio - Champs Elysées,1 Room,2 adults,15 m²,"Paris, 8th Arrondissement","€1,833"
1 room in Trocadéro (16 Arr.),1 Room,2 adults,28 m²,"Paris, 8th Arrondissement","€3,335"
Amazing apartment -Levis Market,2 Rooms,2 adults,46 m²,"Paris, 8th Arrondissement","€3,800"
Studio FullEquiped 2 personnes avec balcon 17e,1 Room,2 adults,13 m²,"Paris, 8th Arrondissement","€1,600"
Studio near Montmartre,1 Room,2 adults,22 m²,"Paris, 9th Arrondissement",€950
Beautiful two bedrooms near Rue des Martyrs central Paris,2 Rooms,2 adults,47 m²,"Paris, 9th Arrondissement","€2,850"
Chauchat - spacious 2 bedrooms apartment,3 Rooms,4 adults,70 m²,"Paris, 9th Arrondissement","€4,000"
Beautiful apartment Bonne Nouvelle / Fbg Poissonnière,3 Rooms,6 adults,50 m²,"Paris, 9th Arrondissement","€4,462"
Rental Furnished flat with two bedrooms - 3 rooms - 92m2,3 Rooms,4 adults,92 m²,"Paris, 9th Arrondissement","€3,580"
Crosby - 2 rooms in South Pigalle (9 Arr.),2 Rooms,4 adults,129 m²,"Paris, 9th Arrondissement","€7,558"
Suite Pigalle – The Heart of Pigalle,1 Room,2 adults,46 m²,"Paris, 9th Arrondissement","€4,900"
"Discover this little urban gem in the heart of Paris's 9th arrondissement - modern and bright, it combines Parisian charm with comfort.",2 Rooms,2 adults,37 m²,"Paris, 9th Arrondissement","€2,667"
Studio Sofa-bed for Olympics,1 Room,2 adults,24 m²,"Paris, 9th Arrondissement","€1,760"
Furnished studio- Montmartre/Sacré Coeur,1 Room,2 adults,18 m²,"Paris, 9th Arrondissement","€1,528"
Love flat very well organized near Sacré Coeur,2 Rooms,2 adults,37 m²,"Paris, 9th Arrondissement","€2,333"
Apartment 2 rooms - 25m² - Grands Boulevards,2 Rooms,2 adults,25 m²,"Paris, 9th Arrondissement","€2,088"
Stylish 1-Bedroom Apartment with High-speed Internet and Great Location- Pigalle,2 Rooms,2 adults,40 m²,"Paris, 9th Arrondissement","€2,528"
2-Bedroom apartment for the Olympics,2 Rooms,4 adults,49 m²,"Paris, 9th Arrondissement","€2,750"
Rental Furnished Appartment - 2 Rooms - 37m² - Grands Boulevards - Lafayette,2 Rooms,2 adults,37 m²,"Paris, 9th Arrondissement","€2,091"
Charming Studio near the Grands Boulevards - 9th Arrondissement,1 Room,2 adults,24 m²,"Paris, 9th Arrondissement","€2,222"
1-Bedroom apartment for the Olympics,1 Room,2 adults,33 m²,"Paris, 9th Arrondissement","€2,310"
Modern and Stylish Apartment near Opera and Grévin Museum - Paris 9th,3 Rooms,3 adults,80 m²,"Paris, 9th Arrondissement","€4,555"
Perfect studio in popular area,1 Room,1 adult,22 m²,"Paris, 9th Arrondissement","€1,917"
"Bright, quiet top floor apartment",3 Rooms,5 adults,95 m²,"Paris, 9th Arrondissement","€4,500"
Paris 9th: Cozy and Connected: 55m2 Apartment with Smart Amenities and Comfy Bedrooms,3 Rooms,4 adults,55 m²,"Paris, 9th Arrondissement","€4,556"
Charming Studio in the heart of the 9th Arrondissement - Close to Opéra Garnier and Montmartre,1 Room,2 adults,21 m²,"Paris, 9th Arrondissement","€2,111"
Lovely & cozy apartment in the city center 3 mins from The Moulin Rouge,1 Room,4 adults,80 m²,"Paris, 9th Arrondissement","€2,950"
Nice studio in the 9th,1 Room,1 adult,14 m²,"Paris, 9th Arrondissement","€1,500"
Studio for Olympics,1 Room,2 adults,26 m²,"Paris, 9th Arrondissement","€1,870"
Modern and fantastic apartment (Paris),6 Rooms,10 adults,130 m²,"Paris, 9th Arrondissement","€8,500"
Lovely one bedroom -  Sacré Cœur,2 Rooms,2 adults,37 m²,"Paris, 9th Arrondissement","€2,333"
Paris Opéra - Amazing 1-BR Apartment in excellent location,2 Rooms,4 adults,40 m²,"Paris, 9th Arrondissement","€6,727"
Amazing & wonderful apartment close to park,1 Room,2 adults,35 m²,"Paris, 9th Arrondissement","€2,500"
Paris Opéra - Amazing studio in excellent location,1 Room,2 adults,18 m²,"Paris, 9th Arrondissement","€4,247"
Paris Opéra - Amazing large studio in excellent location,1 Room,2 adults,23 m²,"Paris, 9th Arrondissement","€4,867"
Paris Opéra - Amazing Executive Duplex Apartment in excellent location,2 Rooms,3 adults,35 m²,"Paris, 9th Arrondissement","€6,107"
"Charming 33m² Apartment near Metro Pigalle, 10 Minutes to Sacré-Cœur",2 Rooms,6 adults,33 m²,"Paris, 9th Arrondissement","€2,500"
Best in Paris,3 Rooms,4 adults,50 m²,"Paris, 9th Arrondissement","€4,000"
"1 bedroom Apartment, close to Rue des Martyrs.",2 Rooms,2 adults,32 m²,"Paris, 9th Arrondissement","€2,100"
Lumineux Appartement meublé  Centre Paris,3 Rooms,4 adults,70 m²,"Paris, 9th Arrondissement","€9,000"
"Beautiful, fully equipped flat in the heart of the 9th arrondissement",1 Room,2 adults,20 m²,"Paris, 9th Arrondissement","€2,000"
Luxury loft in the heart of Paris,3 Rooms,2 adults,55 m²,"Paris, 9th Arrondissement","€3,200"
"Charming flat in private alley - Montmartre, Paris",2 Rooms,3 adults,50 m²,"Paris, 9th Arrondissement","€12,000"
Awesome loft with nice city view,1 Room,1 adult,12 m²,"Paris, 9th Arrondissement","€12,000"
Appartment with terrace in the city center of Paris,2 Rooms,2 adults,54 m²,"Paris, 9th Arrondissement","€20,000"
40m flat free for summer - Belleville,2 Rooms,4 adults,40 m²,"Paris, 10th Arrondissement","€1,500"
"Suite Canal - Meet Amélie, Emily and Arletty",2 Rooms,3 adults,42 m²,"Paris, 10th Arrondissement","€2,778"
Beautiful apartment Bonne Nouvelle / Fbg Poissonnière,3 Rooms,6 adults,50 m²,"Paris, 10th Arrondissement","€4,462"
Apt 2 BDR - Near REPUBLIC,3 Rooms,4 adults,41 m²,"Paris, 10th Arrondissement","€3,778"
Elegant Parisian Studio Just Steps from Rue Montorgueil: Comfort and Sophistication in the Heart of the City of Lights,1 Room,2 adults,23 m²,"Paris, 10th Arrondissement","€2,167"
Panoramic Splendor: 13th Floor View of Sacré Coeur Basilica from a Secure Building with Concierge,2 Rooms,2 adults,55 m²,"Paris, 10th Arrondissement","€3,000"
Beautiful Parisian loft front of the Canal,2 Rooms,2 adults,58 m²,"Paris, 10th Arrondissement","€2,080"
Urban Elegance: Stylish 43m² Apartment with Double-Glazed Tranquility,2 Rooms,2 adults,43 m²,"Paris, 10th Arrondissement","€2,333"
Superb apartment with great view - VELLEFAUX,3 Rooms,5 adults,51 m²,"Paris, 10th Arrondissement","€3,539"
"Sunny Apartment in the Heart of the 11th Arrondissement, Steps from République",2 Rooms,2 adults,29 m²,"Paris, 10th Arrondissement","€2,222"
"Modern, refurbished 38m2 flat in a lively, family-friendly neighbourhood close to transport links.",1 Room,2 adults,38 m²,"Paris, 10th Arrondissement","€2,356"
Nice studio 2pers. / Quai de Jemmapes - Colonel Fabien,1 Room,2 adults,27 m²,"Paris, 10th Arrondissement","€1,889"
Lovely apartment near Canal Saint-Martin,3 Rooms,4 adults,76 m²,"Paris, 10th Arrondissement","€4,889"
Co-living : 10m² room,1 Room,1 adult,10 m²,"Paris, 10th Arrondissement",€967
"Magnificent flat located in the 10th district of Paris, surrounded by numerous shops and means of transport.",3 Rooms,4 adults,77 m²,"Paris, 10th Arrondissement","€5,556"
Studio for Rent - 15 m² - Gare de l'Est / Canal Saint Martin - Paris,1 Room,1 adult,15 m²,"Paris, 10th Arrondissement","€1,200"
Tastefully decorated flat in the heart of the 2nd arrondissement,2 Rooms,4 adults,36 m²,"Paris, 10th Arrondissement","€2,809"
Central and modern studio in the 10th arrondissement of Paris.,1 Room,3 adults,30 m²,"Paris, 10th Arrondissement","€2,666"
Suite Hauteville - The Trendy 10th Experience,1 Room,2 adults,50 m²,"Paris, 10th Arrondissement","€6,950"
MAGNIFIQUE 3 PIECES MEUBLE  PISCINE SAUNA SALLE SPORT,3 Rooms,4 adults,70 m²,"Paris, 10th Arrondissement","€3,450"
Luxury Paris,1 Room,2 adults,15 m²,"Paris, 10th Arrondissement","€1,695"
Charming duplex with a view over the Sacré Coeur,3 Rooms,3 adults,55 m²,"Paris, 10th Arrondissement","€2,400"
Charming apartment close to Canal Saint Martin,1 Room,2 adults,43 m²,"Paris, 10th Arrondissement","€2,800"
"1 bedroom Apartment, close to Rue des Martyrs.",2 Rooms,2 adults,32 m²,"Paris, 10th Arrondissement","€2,100"
Lumineux Appartement meublé  Centre Paris,3 Rooms,4 adults,70 m²,"Paris, 10th Arrondissement","€9,000"
"Furnished 2 rooms flat Paris-10e, district Strasbourg Saint-Denis",2 Rooms,3 adults,45 m²,"Paris, 10th Arrondissement","€2,215"
Luxurious 2-bedroom Design Apartment in the heart of Paris' 10th arrondissement,2 Rooms,5 adults,70 m²,"Paris, 10th Arrondissement","€5,000"
Bright & awesome flat conveniently located (Paris),1 Room,2 adults,27 m²,"Paris, 10th Arrondissement","€1,490"
Luxury loft in the heart of Paris,3 Rooms,2 adults,55 m²,"Paris, 10th Arrondissement","€3,200"
Studio parisien,1 Room,2 adults,14 m²,"Paris, 10th Arrondissement","€3,000"
Apartment in the 11th district of Paris,2 Rooms,2 adults,24 m²,"Paris, 11th Arrondissement","€1,380"
Fantastic & wonderful suite close to park,1 Room,1 adult,14 m²,"Paris, 11th Arrondissement","€1,040"
ATYPIQUE AND LUMINOUS T1,1 Room,2 adults,23 m²,"Paris, 11th Arrondissement","€1,600"
"Space, light, view, in 2 bedroom Marais + parking.",3 Rooms,4 adults,90 m²,"Paris, 11th Arrondissement","€4,400"
"Nice duplex in the 11th arrondissement, Village Faidherbe",3 Rooms,4 adults,66 m²,"Paris, 11th Arrondissement","€3,400"
Beautiful apartment in the 11th arrondissement,2 Rooms,2 adults,40 m²,"Paris, 11th Arrondissement","€3,000"
"Bright 2-Room flat, recently renovated, with double bed and living room near Nation with all appliances",2 Rooms,2 adults,43 m²,"Paris, 11th Arrondissement","€2,650"
Pretty and neat home,7 Rooms,4 adults,100 m²,"Paris, 11th Arrondissement","€6,000"
40m flat free for summer - Belleville,2 Rooms,4 adults,40 m²,"Paris, 11th Arrondissement","€1,500"
Filles du calvaire  - 1bdrm apartment,2 Rooms,3 adults,42 m²,"Paris, 11th Arrondissement","€2,300"
"Suite Canal - Meet Amélie, Emily and Arletty",2 Rooms,3 adults,42 m²,"Paris, 11th Arrondissement","€2,778"
Charming appartement with terrasse,1 Room,2 adults,20 m²,"Paris, 11th Arrondissement","€1,400"
ID393 inviting 1 bedroom apartment in Rue de Turenne,2 Rooms,4 adults,60 m²,"Paris, 11th Arrondissement","€3,400"
Apt 2 BDR - Near REPUBLIC,3 Rooms,4 adults,41 m²,"Paris, 11th Arrondissement","€3,778"
Judson - 2 Bedrooms and terrace in Charonne (11 Arr.),2 Rooms,4 adults,107 m²,"Paris, 11th Arrondissement","€5,244"
Panoramic Splendor: 13th Floor View of Sacré Coeur Basilica from a Secure Building with Concierge,2 Rooms,2 adults,55 m²,"Paris, 11th Arrondissement","€3,000"
ID 422 - Roquette/ rue de la Folie Regnault,2 Rooms,3 adults,45 m²,"Paris, 11th Arrondissement","€2,100"
Spacious and Modern 52m² Apartment with Full Amenities in Prime Location,1 Room,4 adults,52 m²,"Paris, 11th Arrondissement","€2,500"
Beautiful studio in Paris XI,1 Room,1 adult,12 m²,"Paris, 11th Arrondissement","€1,200"
Nice and cozy 113m2 apartment with a view close to park,5 Rooms,4 adults,113 m²,"Paris, 11th Arrondissement","€5,400"
"Sunny Apartment in the Heart of the 11th Arrondissement, Steps from République",2 Rooms,2 adults,29 m²,"Paris, 11th Arrondissement","€2,222"
Tenam - 1 room Archives (3 Arr.),2 Rooms,3 adults,59 m²,"Paris, 11th Arrondissement","€4,178"
"Charming Mezzanine Studio in the Heart of the 11th District, Paris",1 Room,2 adults,20 m²,"Paris, 11th Arrondissement","€1,636"
2-room flat - Gare de Lyon,2 Rooms,4 adults,31 m²,"Paris, 11th Arrondissement","€2,094"
Quiet apartment in vibrant neighbourhood,2 Rooms,2 adults,26 m²,"Paris, 11th Arrondissement","€2,333"
Co-living : 11m² room,1 Room,1 adult,11 m²,"Paris, 11th Arrondissement","€1,122"
Loft of 73m² - Quartier Oberkampf (Paris 11),2 Rooms,5 adults,73 m²,"Paris, 11th Arrondissement","€3,710"
Cosy Studio in the Heart of the City - Bastille,1 Room,2 adults,18 m²,"Paris, 11th Arrondissement","€1,666"
Cristalinas - 2 rooms in Charonne (11 Arr.),1 Room,4 adults,74 m²,"Paris, 11th Arrondissement","€4,805"
"ID390 exquisite apartment in Rue de Tournon, 6th arrondissement",2 Rooms,4 adults,45 m²,"Paris, 11th Arrondissement","€3,500"
Cristalinas - 2 rooms in Charonne (11 Arr.),1 Room,4 adults,74 m²,"Paris, 11th Arrondissement","€4,805"
Cosy Studio in the Heart of the City - Bastille,1 Room,2 adults,18 m²,"Paris, 11th Arrondissement","€1,666"
Charming 1 bedroom in the 11th,1 Room,2 adults,38 m²,"Paris, 11th Arrondissement","€2,550"
"Spacious, cozy home close to park",2 Rooms,2 adults,29 m²,"Paris, 11th Arrondissement","€1,900"
Charming Studio in the Heart of Vibrant Paris,1 Room,2 adults,20 m²,"Paris, 11th Arrondissement","€1,778"
Furnished apartment 2 rooms - Gare de Lyon,2 Rooms,2 adults,31 m²,"Paris, 11th Arrondissement","€2,111"
Magnificent 2-BR apartment - BASTILLE/ST ANTOINE,3 Rooms,4 adults,80 m²,"Paris, 11th Arrondissement","€5,556"
Charming 26m² Studio in the Heart of Paris' 11th Arrondissement,1 Room,2 adults,26 m²,"Paris, 11th Arrondissement","€2,178"
Superb apartment at 1 min from Père Lachaise,3 Rooms,5 adults,65 m²,"Paris, 11th Arrondissement","€4,444"
"Very nice flat completely refurbished and decorated with taste, located in the heart of the 11th district of Paris.",2 Rooms,2 adults,34 m²,"Paris, 11th Arrondissement","€2,778"
Stylish and Cozy Apartment with Private Balcony in MAUR,2 Rooms,4 adults,35 m²,"Paris, 11th Arrondissement","€3,089"
Rental Furnished flat - 3 rooms - 65m² - Marais - Bastille,3 Rooms,4 adults,65 m²,"Paris, 11th Arrondissement","€4,872"
Cozy Studio in the Heart of the City,1 Room,2 adults,30 m²,"Paris, 11th Arrondissement","€2,444"
Cozy and Bright Apartment in the Heart of the 11th District,2 Rooms,4 adults,30 m²,"Paris, 11th Arrondissement","€3,422"
Beautiful 2-room apartment in a modern building,2 Rooms,4 adults,50 m²,"Paris, 11th Arrondissement","€3,351"
"Charming, spacious apartment (Paris)",3 Rooms,4 adults,110 m²,"Paris, 11th Arrondissement","€3,950"
Cosy studio near Atelier des Lumières,1 Room,2 adults,14 m²,"Paris, 11th Arrondissement","€1,556"
Lovely studio in the République district,1 Room,2 adults,28 m²,"Paris, 11th Arrondissement","€2,000"
25m2 flat close to Nation - Paris 11,1 Room,3 adults,25 m²,"Paris, 11th Arrondissement","€1,600"
"Cozy Room in Spacious Apartment with Elevator Access – Mostly Private, Shared with Landlord Only 2 Days a Week",2 Rooms,2 adults,16 m²,"Paris, 11th Arrondissement","€1,150"
Furnished studio,2 Rooms,1 adult,20 m²,"Paris, 11th Arrondissement","€1,500"
"Spacious & quiet loft in nice area, Paris",2 Rooms,2 adults,44 m²,"Paris, 11th Arrondissement","€2,500"
Nice location in 20th Paris near subway gambetta,2 Rooms,2 adults,42 m²,"Paris, 11th Arrondissement","€1,600"
Beautiful and modern studio in vibrant neighbourhood,3 Rooms,2 adults,43 m²,"Paris, 11th Arrondissement","€3,000"
Neat & cute Full furnish apartment  Paris 11eme,2 Rooms,2 adults,51 m²,"Paris, 11th Arrondissement","€1,990"
Bright & charming loft,2 Rooms,3 adults,45 m²,"Paris, 11th Arrondissement","€7,500"
Fantastic & wonderful suite close to park,1 Room,1 adult,14 m²,"Paris, 12th Arrondissement","€1,040"
"Bright 2-Room flat, recently renovated, with double bed and living room near Nation with all appliances",2 Rooms,2 adults,43 m²,"Paris, 12th Arrondissement","€2,650"
Elegant 3P with modern comfort,2 Rooms,5 adults,57 m²,"Paris, 12th Arrondissement","€2,690"
"Nice duplex in the 11th arrondissement, Village Faidherbe",3 Rooms,4 adults,66 m²,"Paris, 12th Arrondissement","€3,400"
Cozy calm studio in Vincennes,1 Room,2 adults,28 m²,"Paris, 12th Arrondissement","€1,550"
"Spacious, beautiful studio in nice area, Paris",3 Rooms,2 adults,32 m²,"Paris, 12th Arrondissement","€1,100"
Judson - 2 Bedrooms and terrace in Charonne (11 Arr.),2 Rooms,4 adults,107 m²,"Paris, 12th Arrondissement","€5,244"
